"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1.6,0.3,0,0,0,41.3,1.4,5.6,2.2,0.4,1.9,0.2,0.1,0.1,0.1,0.3,6.3,0.2,1.1,0,0.3,2.1,0.8,0,5.2,3.4,0.4,5.1,0.5,1.1,0.1,39.9,1,0.3,0.2,1.8,0.5,1,0.5,5,0.2,0.3,0.2,0.5,0,134.4,0.1,0,5.4,-1.5,33.2,0.3,7.1,-247.3
"TTL_A03",0,0.4,0,0,0,4.4,0.2,0,0,0.1,0.1,0,0,0,0,0,0.7,0,0.2,0,0.1,0,0.1,0,0.2,1.5,0,1.3,0,0.1,0,3.9,0.1,0,0,0,0,0.1,0.1,0.4,0,0,0.1,0.1,0,42.6,0,0,0.7,0.1,2.3,0.3,5.9,-11.9
"TTL_B05_06",0,0,0,0,0,0.3,0,0,0.1,5056.6,14.8,0.1,0.1,3.8,4.1,0.4,2.5,0.1,1.1,0,0.2,0.2,12.8,0,17.4,5.3,0.6,4.4,0.5,0.7,0,0.3,0.2,0.1,0,0.3,0.2,0.6,0.2,0.5,0,0,0,0.1,0,2.8,0,0,1.9,0,0.7,0,0,-5134.2
"TTL_B07_08",0,0,0,0,0,0.5,0,0,0.2,0.8,11.9,0.2,0.1,19.1,12.8,2.2,11.6,0.5,1.2,0,0.2,0.8,0.1,0.3,85.1,1.9,0.1,0.3,0.1,0.1,0,0.3,0.1,0.5,0.1,0.1,1.7,1.5,0.4,1.3,0,0.1,0,0.6,0,1.9,0,0,2,0,0.5,0,0,-161
"TTL_B09",0,0,0,0,0,0,0,0,0,1.7,0.1,0,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0.6,0.3,0,0.4,0.1,0.1,0,0,0,0.1,0,0.1,0.3,0.4,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0.3,0,0.2,0,0,-5.9
"TTL_C10T12",3,6.3,0,0,0,490.5,2.6,0.1,0.6,1.6,31,1.3,0.3,0.2,0.2,0.6,12,0.2,2.3,0.1,0.4,1.3,0.1,0.3,8.6,7.2,0.2,33.8,0.4,2,0.7,391.5,4,0.2,0.4,2.3,1,2.3,1,27.4,0.3,2.3,0.6,7.5,0,1552.2,0.9,0.1,16.4,-1.5,139.6,40.6,495.8,-1129.5
"TTL_C13T15",0,0,0,0,0,0.5,87.2,0.1,1.4,1.1,8.3,0.2,1.1,0.2,2.4,1.5,24.8,0.6,3.8,0.2,2.3,10.9,0.2,0.3,11.1,21.2,4.3,2.4,1.4,1.5,0.2,6,6.6,2.6,0.1,0.4,5.3,3.7,3.4,8.9,0.1,3.1,0.7,6,0,395.9,0.1,0,6.8,-2,82.7,10.9,177.4,-444.2
"TTL_C16",0,0,0,0,0,0.3,0.2,8.3,0.2,0.1,1.1,0.1,0.2,0.6,0.1,0.9,12.5,0.2,4.4,0.4,1.6,42.9,0,0.1,50.3,0.8,0.1,1.2,0.1,0.1,0,0.1,0.7,0.1,0.1,0.1,0.1,0.2,0.1,0.8,0.6,0.2,0.1,0.4,0,13.4,0,0,4.2,-0.4,6.1,1,40.3,-109.9
"TTL_C17_18",0.1,0.1,0,0,0,33.2,3.1,0.5,138.6,1.1,25.2,1,2.6,1.8,2.3,6.5,151.2,6.7,12.9,0.6,1.7,9.5,0.4,0.7,6,128.6,2.9,7.7,4.5,13.7,2.9,13,91.7,5.9,7.3,47.8,10.1,75.2,17.6,41.5,11.7,2.5,5.2,3.3,0,299.9,0.1,0.1,9.9,-4.1,14,8.4,352.5,-493.9
"TTL_C19",0.3,0.6,0,0,0,19.2,2.8,0.5,5.1,2978.2,1004,10.3,4.5,11.7,8.4,13.4,148.8,3.6,22.3,2.2,9.1,9.6,310,4.5,315.2,139.5,117.9,550.1,332.2,37.1,0.9,16.3,6.6,4.5,6.4,33.1,13.5,30.9,22,56.8,4.5,2.2,2.8,5,0,237.6,0.1,0,7.7,1.6,53.3,60.4,4798.2,-340.5
