"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",601.2,0.3,6.2,2,0,761.8,17.4,280.9,204.8,9.5,93.2,1.9,168.5,9.8,14.3,13.1,12.5,6,7.1,29.3,1,14,37.5,2.3,31.5,131.6,11.6,0.2,0.2,5.9,0.3,12.2,1.3,0.6,4.4,2.6,5.3,12,22.7,7.8,7.8,12.3,1.2,5.6,0,1167.9,3.9,14.7,55.2,53.3,17,17.8,1483.4,-1316.3
"TTL_A03",0.2,0,0.8,0.3,0,0.6,0.1,0,0,0.2,0.1,0,0.1,0,0.1,0,0.1,0,0,0.2,0,0,0.2,0.1,0.1,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.8,0,7.8,0,0.1,0.3,0.2,0.9,0.2,2.3,-11.6
"TTL_B05_06",7.2,0,51.4,12.6,0.5,4.2,1.7,1.1,0.5,1543.2,10.9,0.1,1.4,80.6,493.5,1.1,0.6,0.6,1.2,2.3,0.3,1.1,1579.3,2.9,45.1,10.3,9.8,0.1,0.3,8.6,0.2,0.9,0.2,0.1,0.3,2.7,53.1,8.4,1,1.7,3.8,1.2,0.3,0.6,0,66.9,0.2,1.3,22.6,56,0.7,0.3,300.9,-3965.1
"TTL_B07_08",2.9,0,5.8,5,0.2,1.3,0.7,0.6,0.6,50.4,2,0.1,1.8,43.9,532.4,1.4,0.9,1.4,1.2,2.2,0.2,0.5,79,1.2,38.4,2.8,1.1,0,0,3.3,0,0.3,0.1,0,0.1,0.1,21.4,3,1,0.5,1,0.3,0.1,0.2,0,18.1,0,0.6,7.9,11.4,0.2,0.1,51.2,-667.9
"TTL_B09",3.3,0,62.3,7.8,38.5,0.6,0.2,0.4,0,95.2,0.2,0,0.2,8.4,15,0.1,0.1,0,0.1,0.2,0,0.1,64.4,1.2,12.4,0.9,0.6,0,0,2.4,0,0.1,0,0,0,0,35.9,6,0.2,0.4,1.3,0.3,0,0.2,0,0.6,0,0.1,0.5,0.4,0.1,0,0.2,-38.2
"TTL_C10T12",132.2,0.3,0.3,0.1,0,761.8,2.4,0.5,8.4,7.1,99.3,6.3,9.7,1.3,4,1.9,3.9,2,3.6,6.7,0.2,1.1,7,0.7,2.4,58.9,2.9,0.5,0.2,0.9,0.1,150.9,3.5,0.1,0.2,0.2,9.3,7.7,8,12.6,32.7,75.5,4.1,9.1,0,5228,0.1,5.4,16.5,115.2,59.2,49.5,1306.2,-3067.3
"TTL_C13T15",2.8,0,0.4,0.2,0,5.1,345.2,0.5,14.5,1.7,2.3,0.5,22,2.7,4,12.7,5.3,4.7,8,173.3,0.6,15.1,3.4,1.9,5.7,22.2,2.1,0,0.1,1.9,0.2,1.2,0.9,0.4,0.4,14.1,2.8,3.8,11.4,14.1,4.1,6.6,3.5,5.8,0,1729.8,0.5,3.9,15.5,63.3,24.6,20.7,995.5,-1430.8
"TTL_C16",45.2,0,4.1,1.2,0,11.4,4.9,233.3,25.5,1.9,19.6,1,10.2,23.4,17.4,40.6,5.7,10.4,11.4,14.4,4.5,233.4,17.7,1.5,210.4,128.5,5.5,0.1,0.1,4.3,0.2,1.6,0.7,0.9,1,1.2,3.5,8.9,23.6,3,2.4,5.2,1,1,0,149.2,0.6,4,23.9,20.6,3.3,3.7,609.8,-417.7
"TTL_C17_18",8,0,0.5,0.2,0,137.5,19.9,10.3,403.8,2.7,19.3,16.7,24.2,22.1,8.3,15.8,40.4,16.9,22,28.8,0.4,20.5,18.7,2.2,11.1,153.2,3,0.1,0.2,3.1,7.5,3.6,55.9,4.7,5.7,15,4.3,30.7,53.2,37.8,18.2,13.5,5.6,11.6,0,576.2,0.1,3.1,134.2,33.7,7.3,9.5,1120.4,-885.9
"TTL_C19",158.8,0.2,9.8,5.8,0.6,48.4,12.6,13.9,17.9,595.9,612.4,3,59.4,50.8,113.5,24.2,13.6,10.6,21.9,72.4,1.7,14.7,273.7,30.3,80.7,326.8,558.3,8.2,22.1,49.5,6,9.7,4.4,5.7,8.4,5,11.2,28.5,18.6,40.2,9.3,31.4,6,9.4,0,903.3,0.1,15,12.6,74.4,21.8,29.3,2409.3,-1542.7
