"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",225.3,0.4,0.4,0.2,0,245.7,22.6,61.1,5.6,0.5,3.8,1.6,18.1,3.3,1.9,7.4,2.7,6.4,3.1,4.2,0.2,11.3,3.4,1.9,23.5,72,8.4,0.3,0.9,3.8,0.2,49.7,2.3,3.4,2.2,7.8,2.7,22.2,8.1,12.8,12.3,6.8,6,5,0,566,0.7,4.7,54.5,18.3,3.8,13,101.5,-241.3
"TTL_A03",0.1,0.2,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0.2,0,1.7,0.1,0,0,0,0,0.2,0.2,0,0.1,0.1,1.2,0.3,0,5.1,0.6,0,0.1,0.2,0.2,0.5,0.9,-2.5
"TTL_B05_06",1.2,0,0.1,1.7,0.1,2.6,2,1.4,16.9,16.5,4.1,0.2,1,6.5,7.8,5.4,0.2,0.6,0.5,0.4,0.1,0.9,162.3,1.9,9,2,6.7,0.1,0,0.5,0,0.2,0.1,0.1,0.1,0.2,0.6,5.3,0.8,0.3,1.2,1.3,0.5,1.7,0,40.3,0,0.1,6.9,3.8,0,0,0.3,-158.6
"TTL_B07_08",0.9,0,0.4,2,0,0.8,0.2,0.3,0.3,0,12.9,0.4,0.2,22,3.8,0.3,0.2,0.9,0.2,0.2,0,1.4,1,0.9,53.1,1,0.7,0,0,0.6,0,0.3,0.1,0,0,0,0.1,2.1,0.3,0.2,0.2,0.2,0.4,1.1,0,4.5,0,0.1,1.8,1.8,0,0.5,4.4,-39.9
"TTL_B09",0.1,0,1.2,0.5,0.2,0.1,0,0,0.2,0.8,0.2,0,0,1.2,0.1,0.1,0,0,0,0,0,0,0.5,0.1,3.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2.1,-5.3
"TTL_C10T12",70.3,1,0.1,0.2,0,275,4.5,1.8,1.4,0.1,4.2,1,1.1,1.1,0.4,6.1,0.8,1.1,1.1,0.4,0,3.1,0.9,0.5,26,73.4,6.6,0,0.7,2.2,0,116.1,1.9,0.7,1.3,1.3,5.7,8.8,5.7,2.4,19.9,13.7,5.5,2.2,0,1261.3,0,0.1,1,22.3,14.8,32.5,174.3,-424.6
"TTL_C13T15",5.2,0.1,0.8,0.4,0,8.5,358.3,4.3,7.1,0.3,2.8,1.6,25,3.3,2.9,6.6,3.3,5.1,4.5,16.1,0.2,22.1,4,2.5,21.9,47.9,7,0.2,0.3,6.2,2,4.2,1,3,2,10.9,5.7,17,4.5,14.4,8.5,27.5,5,3.4,0,459.2,0,1.6,3.6,19.2,9.9,18.3,451.5,-389.6
"TTL_C16",5.4,0,1.2,0.1,0,3.9,4.9,94.5,12.1,0.1,2.8,1.1,10.3,4,2,7.9,1.6,2.7,1.8,8.3,0.1,78.5,1.7,0.7,59.5,15.7,2.4,0.2,0.3,3,0.1,1.1,0.5,0.7,0.6,4.5,2.2,11.8,2.1,2.1,1,4.4,1.2,2.3,0,31.4,0.1,0.8,9.7,8.3,0.9,2.6,258.8,-100.8
"TTL_C17_18",11.8,0.3,0.7,0.8,0,45.7,10,7.8,271.8,0.4,12.1,10.9,7.3,8.9,5.1,14,6.4,13.3,9.6,5.7,0.3,19.8,6.4,4.3,22.1,76.1,8.6,0.2,0.3,10.3,1.5,7.4,31.4,7,5.9,15.7,3.7,44.7,8,52.5,13.7,19.7,11.5,14.1,0,93.7,0,0.3,1.7,15.3,1.6,3.4,291.1,-283
"TTL_C19",16.7,0.1,0.2,1.1,0.1,8.2,3.6,3,5.7,6.3,8.6,1.9,4.9,7.5,3.9,4.8,1.7,2.5,2.2,2.4,0.1,3.3,11.2,3.2,32.6,14.4,40.7,4.3,4.3,6.1,0.8,2.3,0.9,1.7,2.2,1.5,2.3,6.2,1.5,4.5,3,3.6,0.9,1.8,0,194.9,0,0.2,2,4.4,6.1,0.1,17.4,-380.3
