"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",5394.6,1.6,1.4,6.2,0.5,2704.7,15.4,3210,2834.4,2.8,94.6,23.3,12.2,12.2,18.3,12.4,3.1,4.6,16.3,21.6,3.1,17.8,419,12.3,253.6,100,25.5,5.1,2.2,82.6,2.7,260.6,152.6,6.3,22.9,15.2,218.8,77.9,67.3,52.7,55.8,214.6,137.9,52.7,0,3962.1,5.1,28.4,664.7,173.2,102.5,84.2,782.6,-2525.4
"TTL_A03",2.4,36.6,0,0,0,141.4,0.1,0.2,0.3,0.2,14,14.9,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.4,0,0.3,0.2,0.1,1.5,10.3,0.2,4,0.1,1.1,0,203.2,0.2,0.1,0.3,0.2,0.6,1,1.2,2.2,1.7,6.6,2.3,0.1,0,384,0.3,1.3,2.3,30.2,5.8,0.5,92.3,-682.3
"TTL_B05_06",96.5,0.4,15.7,4,0.3,2.6,0.2,106.6,16.7,8744.6,11.1,1.7,1,68.7,142.9,1.5,0.4,0.7,7.1,9.9,1,9.5,645.1,9.7,60.1,13,59.4,6.8,17,19.5,1.9,0.7,0.9,1,1.2,1.2,7.3,3.5,3.3,4.3,1,2.2,2.5,1,0,83.3,0,0.7,49.8,122.8,8.6,0,20.5,-10009.3
"TTL_B07_08",2.7,0.1,14.3,614.2,19.2,9.9,0.2,1.8,17.9,0.6,154.1,3.7,2.9,31,2877.7,5.9,2.5,2.7,2.2,3.8,0.2,1.1,22.9,65.5,279.8,1.8,59,0.1,0.1,44.3,0.6,0.4,0.2,0.2,0.7,0.2,17,3.9,2.7,1,0.2,0.8,8.7,1,0,46.9,0,0.4,7,82.5,2.1,0,1587.4,-96.6
"TTL_B09",0.2,0,0.1,1.2,0.1,0.1,0,0.1,1.2,2.1,0.6,0.3,0.2,1.2,6.5,0.2,0,0.1,0.3,0.5,0,0.1,1.4,0.3,8.8,0.5,0.4,0,0.1,0.6,0,0,0.1,0,0.2,0.1,0.2,0.5,0.2,0.2,0.1,0.1,0.1,0.1,0,0.9,0,0.2,2.3,0.1,0.7,0,176.4,-31.6
"TTL_C10T12",553.5,13.9,0.1,0.5,0,2567.3,20.1,1.9,71.8,4.4,284.4,105.4,7,1.8,3,3.2,1.7,3.2,5.5,10.5,0.9,6,13.3,3.3,11.4,123.7,18.4,26.3,9.2,3.5,0.3,2949.8,2.1,1.1,3.9,9.7,4,84.5,37.1,132.4,207.9,720.8,208.5,4.1,0,14380.4,0,20.1,19.4,328.8,362.6,211,2383.6,-7098.3
"TTL_C13T15",7,1.4,1.3,11.1,0.9,30.7,140.2,19.5,82.9,2.6,10.5,15.3,18.1,10.1,12,49,5.4,9.4,43.2,52.7,4.3,58.9,6.3,3.4,53.8,53.3,14.3,1.6,1.4,16.7,2.1,21.8,3.6,6.2,26.7,1.7,5.8,95.5,54.2,29.9,6.9,77.2,15,27.4,0,2539,0,1.8,21.8,66.6,163.4,12.1,223.1,-2596.2
"TTL_C16",145.3,5.2,1.6,2.1,0.2,26.2,2.7,1443.5,621,3.7,24.7,8.6,38.3,180.5,51.6,79.8,5.7,26.4,48,25.9,9.2,279.9,514.4,12.1,3564.6,100.1,18.8,0.9,1.4,32.3,3.3,8.2,5,2.6,13,4.2,335.8,32.6,51.3,21.4,16.9,21.9,26.7,29.9,0,595.6,0.2,7.1,274.4,82.4,18.4,20.8,3521.5,-1313
"TTL_C17_18",253.9,1.3,1.3,10.6,0.6,361.7,14.4,200,2067.5,6.9,82.2,161.4,109.6,36.2,42.3,51.8,31.2,30.3,94.1,109.6,8.4,97.3,71.1,71.4,118.4,635.7,83.8,28.3,19,106.3,23.5,37.3,447.3,79.5,152.2,72.8,144.1,513,123.7,141.4,169.5,306.4,156.3,100.8,0,1102.1,1.3,340.4,189.4,143.3,52.8,56.3,10598.4,-1814.2
"TTL_C19",382.5,17.6,13.7,72.3,4.3,81.6,11,77.8,239.7,149.3,150.4,67.3,52.6,222.9,204.4,44.8,11.4,23.3,63.6,89,22.6,100.3,118.9,204.5,1078.1,432.4,2262,265,677.5,212.3,42,24.6,15.8,29.6,14.9,22.1,171,89.6,105.9,154.6,30.6,77.5,72.3,35.5,0,2647,0.3,14.3,48.2,147.7,139.2,112.1,4827.5,-4297
"TTL_C20",302.1,1.3,8.2,55.6,3.2,137.9,84.2,87.4,702.1,15.6,1500.4,1176.4,936.4,146.6,122.3,159.9,99.2,140.1,67.8,503.8,10.1,101.1,310.9,112.4,353.6,207.2,83.8,3.8,12.2,53.2,3.1,37.3,18.9,12,23.9,8.1,92.9,113.5,219.6,43.9,30.6,195.8,48.5,121.5,0,1944.7,1.1,184.9,246.6,125,44.3,30.7,5059.1,-5858.5
"TTL_C21",29.6,0.6,0.8,7.7,0.6,82.8,18.8,19.4,45.2,23.3,64.1,996.7,32.4,17.6,63.5,37.9,19.6,15.9,54,82.4,14.3,25.4,18.5,22.9,128.3,228.7,48.5,12.7,22.6,41,3.5,44.9,41.8,17.6,46,9.4,21.8,142.6,62.6,25.1,16.2,619.5,27.2,17.1,0,2039.2,3.3,1787.3,603.3,100.2,38.2,50,8718,-2327.8
"TTL_C22",20.9,0.7,10.6,5.3,0.4,214.1,33.9,68.8,90.9,4.9,88.6,177.9,302.8,99.3,22.3,88.2,77.4,58.9,348.8,905.6,18.6,108.5,14.9,100.2,756.9,180.6,115.9,1.9,2.9,39.4,1.2,39.4,7.9,16.5,61.4,24.2,107.6,99,46.3,111.2,35.1,220.4,33.2,29.9,0,1264.7,0.4,60.8,142.7,65.9,5,3.2,2721.5,-3667.4
"TTL_C23",89.3,0.2,6.1,56.5,5.7,102.7,4.7,136.1,40.1,7.8,44.8,44.1,20,501.1,73.9,102.3,27.2,25.1,82.5,257.1,13.6,27.1,83.2,39.8,2862.2,54.6,32.7,2,2.1,104.7,1.1,19.4,7,3.6,10.5,4.9,230.1,43.2,13.8,20.1,16.2,40.9,9.5,22,0,672.1,0.2,17.8,471.6,54.7,3.2,12.9,849,-1765.5
"TTL_C24",53.5,0,2.2,32.2,2.8,5,9.8,49.8,14.1,0.1,26.8,16.7,122.5,165,4197.1,3878.5,101.7,734.5,1170.7,1347.5,34.4,358.8,28.3,79.6,1395.3,19.4,0.2,0.7,0.1,87.4,1.5,0.4,7.6,14.2,21.5,0.4,18.5,19.8,38.2,23.7,8.8,1.5,3.2,6.1,0,68.6,0,0.2,16.3,185.8,1,0,8494,-5475.1
"TTL_C25",51.1,0.9,4,110.7,9.8,160.4,21.5,179.4,51.4,9.4,73.1,54.6,121.6,146.8,172.7,1417.7,132.7,460.1,2268.6,1747.9,295.8,401.8,32.7,245.7,2036.6,112,24,7.1,5.1,80.7,1.9,19.5,14,91.5,61.7,12.5,121.2,91.8,86.8,262.2,35.4,53.8,25.5,32.4,0,1217.6,1.1,51,3260.1,146.5,5.6,5.3,4656.1,-4496.9
