"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",856.6,1.8,0.4,0.3,0.1,6110.5,225.9,69.7,15.5,0.8,45.1,20,622.7,2.4,0.5,0.6,3.4,0.9,0.7,0.7,0.4,11.8,1.8,0,10.8,2,0.4,0.1,4.5,0,0,543.7,0.3,0.1,0.9,4,4,1,1.4,12.8,12.9,40.5,2.8,4,0,4490.7,4.1,51.3,16.1,40.3,17.5,45.7,785,-896.4
"TTL_A03",44,22.7,0,0,0,1406.1,0.3,0,0.1,0.1,0.4,19.3,0.1,0.1,0.1,0.1,0.6,0.2,0.1,0.1,0,3.3,0,0,0.1,0.3,0,0.1,0.1,0.2,0,286.8,0,0,0,0,0,0,0,1.8,3.5,10.1,0.4,0,0,569.9,0.8,2.9,0.5,7.2,1.2,0.9,22.8,-24.4
"TTL_B05_06",0.5,0.8,49.2,0.3,1.3,2.4,1.4,0,8.1,5246.9,34.9,0,0.2,50.6,20.3,0.2,0.6,0.2,0.4,0.4,0.1,0.4,924.4,0,1,0.8,2.4,0.9,0.4,0,0,0.3,0,0,0,0.1,0,0,0.2,0.2,0.1,0.1,0,0.1,0,4,0,0.3,0.7,12.5,0.7,0,66.3,-3775
"TTL_B07_08",1,0.2,0.5,11.3,0.6,13.5,1.4,0,5,1,38.8,3.2,2.6,220.6,163.6,1.6,1.3,2.6,4.3,5.4,0.8,12.2,0.2,0,487,0.4,0.4,0,0.1,0,0,0.2,0.1,0,0,0.1,0,0,0,0.1,0.1,0.2,0.1,0.1,0,20.9,0,0.4,0.3,1.4,0.4,0,76.4,-219
"TTL_B09",2.5,15.2,73,9.9,6,2.3,0.1,0,1.9,211.6,3.7,0,0.3,15,0.9,0.2,0.1,0.1,0.1,0.1,0,0.1,8.9,0.3,13.4,0.2,0.7,0,0.1,0,0,0.4,0,0,0,0,0.5,0,0.1,0.9,0.1,0.1,0,0,0,0.6,0,0.1,0.1,0,0.1,0,31.2,-79.7
"TTL_C10T12",869.5,204,0.4,0,0.2,3674.1,63.6,0.7,39.3,1.5,88.5,24.8,3.7,7.5,0.4,0.4,4.9,1.7,0.8,0.9,0.4,49.6,8.2,0,1.1,41.8,4.3,0.7,42.1,0,0,2724.7,2.2,0.2,0.2,9.2,0.5,0.7,1.7,68.9,25,74.7,3.7,8.2,0,9161.8,15.9,8.8,3.5,69.6,73.4,180.7,7439.5,-1514.7
"TTL_C13T15",15,3.5,0.1,0.2,0.3,24.7,3803.3,0.2,10.6,1.3,219,4.6,133.7,14.6,1.2,0.7,14.1,29.9,4.3,22.1,25.4,189,4.2,3.2,7.8,218,83.1,20.7,8.5,2.1,0.1,241,13.3,0.2,2.5,47.9,1.7,2.8,5.9,12.6,5.7,67.8,4.1,38.6,0,3619.1,7.9,6.9,24.6,70.3,41.2,465.4,5298,-1314.5
"TTL_C16",14.8,0.4,0,0.4,0.2,5.7,3.4,164.5,1.4,0.3,7.2,1.5,3.4,5,0.9,9.2,18.3,9.3,9.7,12.1,7.9,202.3,0.4,0.6,168.8,23.6,1,0,0.2,0.3,0,2.1,1.4,0,0.3,1.7,0.1,0.3,1.7,0.5,0.3,0.6,0.1,4.4,0,109.2,0.7,0.5,8.5,0.9,3.2,10.3,382.7,-186.1
"TTL_C17_18",3.5,0.6,0.6,0.2,0.2,151.6,59.9,11.1,804.5,1.9,54.1,22.4,11.6,33.5,5,6.7,32.8,18,7.8,7.7,2.5,41.6,5.3,1,4.6,49.9,21.6,1.2,3.2,0,2.6,12.7,124.8,6,74.7,70.4,1,95.4,66.1,106.9,106.7,12.9,2.8,9,0,389.9,1.3,45.8,3.8,8.1,7.5,40.5,550.1,-597.4
"TTL_C19",257.2,332.5,173.1,38.9,5.7,203.8,97.3,13.7,29,1181.5,253.4,2.8,62.9,159.6,87.8,43.4,49.8,39.7,74.1,21.7,15.5,24.5,629.2,13.6,185,125,1845.4,365.8,246.3,0.4,6.1,155.1,7.2,10,25.5,24.9,7.2,23.6,63,157.6,34.7,30.9,4.3,50.6,0,1349.8,0.1,0.5,1.4,38.1,27.1,143.3,1053.9,-645.4
"TTL_C20",860.3,13.5,2.4,6.6,2.1,257.3,916,59.3,172.1,49.5,2207.3,197.1,1128.3,217.9,68.1,83.7,323.6,114.9,52,165.4,41.2,176.7,11.8,18.6,108.2,70.6,6.7,1.4,7.1,0.8,1.1,79.4,78.2,2.7,3.6,36.2,1,11.5,10.1,26.9,16.4,106.1,1.2,173.8,0,964.6,2.8,28,4.2,31.3,7.6,2,2079.6,-3301
"TTL_C21",25.2,0.8,0.2,0,0,10.7,1.9,0.1,0.6,0.4,3.3,22.8,1.7,0.5,0.2,0.2,6.1,0.5,0.3,0.6,0.2,0.7,0.2,0,1.3,0.6,1.7,1.1,0.1,0.3,0,2.1,0.2,0.1,0.1,0.6,0.1,0.1,0.3,0.7,3.5,272.4,0,1.1,0,320.9,1.7,345.8,3.6,1.8,6.7,1.1,76.8,-234.2
"TTL_C22",64.5,66.3,1.5,1.2,1.9,289.6,208.6,8.7,30.3,1.4,86.8,32.1,712.2,16.8,4.7,37.6,351.3,189.9,30.4,172.4,37.5,200.3,4.5,9.9,106,432.5,295,3.3,4.8,1.2,0.4,40.3,9.7,1,10,5.1,1.4,7.7,14.6,0.3,2.7,27.5,0.6,12.1,0,483.3,0,0.9,92.3,16.8,0.6,0,2308.8,-1062.5
"TTL_C23",9.5,1.8,0.1,0.2,1.6,94.2,2.2,0.4,0.8,0.3,6.1,16.6,0.8,330.2,15.4,7.3,118.1,89.3,46.7,37.6,7.8,15.6,0.2,1.6,1928.1,17.5,0.6,0,0.4,0,0,32.6,0.2,0,0.1,1.4,2.3,1.1,0.1,10.4,1.3,1.8,0.1,0.9,0,358.5,0,0.4,84.4,13.6,0.3,0,758.5,-276.3
"TTL_C24",1.4,0.1,0.1,0.2,1.3,19.9,1.3,0.2,2.4,0.2,2.1,0.1,2,53.7,1007,893.4,207.9,466.5,173.8,274,73.6,671.2,0.3,0.5,540.1,67.7,0.8,1.3,0.1,0.1,0,0.6,1.2,0.1,1.2,0.2,0.1,2.3,1.9,0.3,0.2,2.1,0,3,0,6.6,0,0.5,21.6,4.5,0.2,0,1161,-2560.4
"TTL_C25",131.7,0.5,0.5,9.9,3.1,674.3,57.2,26.2,19.9,10.4,28.9,11.9,28.1,13.7,19.8,78.2,106.1,156.8,171.3,194.8,35.6,102,11,1.7,342.9,33.4,13.9,2.9,11.2,0.7,0.2,21.9,13,0.9,1.3,1.6,2.7,1.6,1.9,18.7,1.4,24.7,0.2,13,0,419.3,1.1,2.6,547.9,9.9,0.6,0,895.8,-1625.4
"TTL_C26",5.4,0.8,7.7,0.5,0.8,25.1,11.8,0.9,1.6,1.3,6.7,5,3.6,2.2,2.4,2.6,12780.5,264.8,25.1,283.3,9.8,215,22.9,4.7,48.6,31.6,9,2,12.6,0.1,1.1,14,44.6,23.2,49.2,44.7,2.5,35.6,15.3,66.8,49.5,136.2,1,81.7,0,799.5,3.4,307.7,3756.8,107.4,9.4,3,13389.4,-8912.8
"TTL_C27",5.6,0.7,1.5,0.7,0.6,4.5,1.6,0.9,0.4,0.4,1,0.5,1,2.8,2.5,3.3,346.8,1187.5,86.1,199.9,39.1,58.1,77.5,0.4,408.3,156.3,22.9,1.4,0.5,0,0.1,68.2,7,2.9,0.7,14.1,3.3,1.6,0.6,0.6,1.8,8.9,0.1,25.3,0,532.5,0.7,2.6,1135,3.9,4.2,21.4,2671.2,-2307.4
"TTL_C28",70.2,7.7,19.6,11.3,6,142,54.2,20.4,18.3,18,40.8,3.3,16.8,43.8,32.8,19.1,119.8,52.2,840.5,364.5,95.2,24.2,19.2,0.9,97.5,106.8,28.7,7.1,1.6,0.4,0.1,9.4,4.5,0.6,0.5,0.8,0.7,0.6,1.1,11.7,1.4,2.8,0.1,2.7,0,304.5,1,3.7,2541.5,17.3,0.6,0,749,-2814.2
"TTL_C29",1.7,0.2,0.4,0.2,0.8,5.2,2.3,0.4,0.5,0.5,1.4,0.3,1,0.8,2.2,2,57.9,12,24.2,3055.6,5.8,3.8,0.8,1.1,5.3,979,177.4,0.4,0.2,0,0,0.7,0.4,0.2,0.2,0.4,0.8,0.3,1,4.9,0.3,0.9,0.1,3,0,1643.8,1.3,4.4,1423.5,46.4,5.4,0.7,1502,-1259.5
"TTL_C30",0.4,55.6,3.9,0.1,0.1,2.7,0.3,0.1,0.1,0.1,0.3,0,0.1,0.1,0.3,0.3,4.4,3.8,2.1,1.6,600.9,0.7,0.3,0,2,51.5,14.3,161.5,139.5,0,0,0.3,0.1,0,1,0.1,0,1.8,1.3,0.8,0.1,0.2,0,0.1,0,310.8,0,1.1,1517.6,3.9,0.1,0,332.6,-1352.9
"TTL_C31T33",22.6,1.9,3.5,2.4,11,60.3,497.5,7.8,8.7,10.6,37.8,10,35.4,16.3,17.3,18.1,132.4,35.1,13.7,26.6,8.5,2635.8,14.7,11.2,65.9,89.1,83.8,8.1,18.5,0.5,8,34.1,83.1,45.9,13,153.9,13,25.5,48.5,101.5,132.8,47.5,31.8,53.3,0,1159.5,2.2,204.2,882.7,-10.2,32.5,282.3,2543.6,-662.8
"TTL_D",33.3,6.3,11.5,20.8,5.1,439.7,556.8,58.5,76.7,211.1,531.3,10.6,224.1,368.4,259,54,171.9,100.5,63.4,97.1,19.4,96.2,2124.9,64.7,22.4,397.9,60.8,6.9,26.7,29.5,9.2,804.6,73.9,73.2,13,88.7,80.7,22,30.5,0,136.8,234.2,12.4,102,0,1403.2,4.1,0.2,1,0.2,1.3,0,108.6,-100.7
"TTL_E",1.6,0,0.1,0,0.4,18.4,4.7,1.3,1.5,1.3,5.8,1.3,1.8,6.8,2.9,0.8,14.1,1,0.8,1.5,0.6,1.1,1.1,6.8,1.5,6.4,2.1,0.5,1.8,0,1.2,14.3,1,4.8,1.7,2.4,4.4,1.4,2,32.8,1.5,4.5,2.3,2.3,0,535.6,13.2,101.2,1.1,0,0.2,0,0,-8.6
"TTL_F",10.1,1.3,1.4,3.3,3.1,12.2,4.3,1.3,2.2,1.5,3.7,0.7,2.6,4.5,3.3,1,4.8,3.7,3.4,2,1.3,3,9.1,0.8,9.5,16.2,4,0.7,0.5,0.5,0.3,17.4,3,1.5,1.8,20.9,19.6,1.4,1.5,16.8,7,6.8,2.2,2.3,0,489.6,6.7,17.1,8937.2,0.1,1.8,0,0,-31.1
"TTL_G",681.3,135,52.2,66,6.4,2524.7,1741.2,79.3,245.1,574.9,716.1,88.3,560.1,222.9,201.1,179,3250.2,527,343.7,714.4,183.3,1106.4,283.2,20.1,790.7,551,1607.4,98.2,108.1,6,6.2,1040.1,87.7,19,52.5,92.5,10.5,71.1,68.6,204.3,117.2,234.1,13.6,108.8,0,6997.2,13.8,263.9,2466.1,106,92.4,375.1,11286.4,-7157.1
"TTL_H49",79.9,10.4,31.6,13.5,3,246.2,118,8.4,26.4,106.5,75,12.5,51.7,39.5,33.3,32.4,242,55.8,43.8,78.4,22.1,106,46.2,2.1,572.6,145.8,210.9,21.5,23.7,10,15,71.3,10.6,19,14.8,33.8,2.9,12.2,16.5,41.3,19.5,21.2,1.5,12.7,0,1932.1,4,309.9,152.4,2.2,158.1,879.5,3065,-1236.6
"TTL_H50",5.1,2.2,1.1,29.1,1.2,39.7,11.2,0.9,2.6,47.4,8.2,0.9,5.5,3.4,5.1,3.9,30.4,7.3,5.5,9.7,3.3,8,5.6,0.1,8.9,98.2,2.7,218.7,5.2,0,0.1,3.7,1.2,0.3,0.3,1.6,0.1,0.4,25.6,0.9,2.3,5.8,2.1,2,0,510.1,0.1,1.9,31.3,150.5,22.3,382.7,1571.2,-1033.3
"TTL_H51",13.9,2.1,4.1,0.5,0.5,48.6,30.2,2.8,8.1,63.6,30.2,8,16.1,8,14.5,15.2,96.1,20.2,17.1,27.8,9.6,33.3,16.4,1.4,21.8,197,8.7,5.5,504.7,1.8,8.8,16.3,5.5,9.2,4.3,27.5,1.4,3.7,15.4,23.6,2.4,17.8,1.9,7.9,0,777.1,1,21.6,76.8,255.7,85.1,327.4,1740.4,-1720.1
"TTL_H52",3.7,0.6,0.4,0.4,2,49,16.8,2.1,7,9.2,21.5,4.9,8.9,8.3,6.7,9.2,27.6,12.6,15,13,5.7,8.5,2.9,0.1,9.2,36.7,2.3,1.5,307.7,1,0.5,3.2,1.3,0.8,0.3,0.7,0.1,0.4,2.7,0.7,0.4,1,0.1,1,0,558.4,2.4,1.4,19.4,0.5,4.4,2.8,153.4,-1180.9
"TTL_H53",3.1,0,0.2,0.5,0.3,12,5.7,0.7,0.8,5,6.2,1,2.9,2.7,1.7,2,15,2.1,6.2,3.7,0.7,8.8,4.3,0.3,2.1,42.3,5.3,1.7,5,0,51,20.8,14.5,63.5,5.8,35.1,0.4,12.3,11.3,24.8,4.5,2.8,0.3,4.1,0,209.8,0.4,3.5,0.3,0.4,2.7,6.4,179.6,-145.5
"TTL_I",22.7,0.1,3.9,7.2,2.1,54.5,86.3,8.2,9.3,9.2,24.3,6.5,9.2,16,7.5,9.3,34,22.7,34.1,14.4,7.3,28.3,21.9,5,114.4,1073.7,158.6,9.8,12.4,0.1,3.7,42.8,14.3,12.9,23.5,94.2,11.5,28.4,65.2,193.9,69.8,45.3,2.5,50.8,0,7000.5,37.8,142.8,0.8,0,640.1,1351.1,0,-653.7
"TTL_J58T60",0.5,0,1.3,0.1,0.2,5.8,2.1,0.3,0.6,2.7,2.3,0.2,1.1,0.9,0.3,0.7,3.1,0.9,1.1,2.1,0.4,1.7,0.9,0.1,1,19.3,6.7,1.1,1.2,0,0.3,4.1,151.2,2.2,190.7,11.6,0.4,514.3,350.1,22.5,28.2,4.8,0.2,3.4,0,519.8,19.8,7.3,1.3,0,9.6,20.8,54.9,-288.5
"TTL_J61",10.6,0.1,1.3,1.8,0.8,39.7,19.9,2.4,3,13.7,16.5,2.5,8.6,8.7,5.2,6.6,52.3,6.7,18.7,11.7,2.6,29.8,9.1,0.7,8.4,98.2,19.5,6,19.9,0.1,6.3,95.2,94.8,211.1,23.9,92.6,1.1,36.3,35.4,61.7,14.9,10.6,1,13.6,0,1441.1,2.7,4.4,2.3,0.1,27,167,660.1,-970.5
"TTL_J62_63",1.2,2.2,84.4,0.4,0.9,41.8,31.3,2.9,5.4,18,14.5,2.3,13.4,15.9,2.2,4.5,44.7,15.5,5.9,8.9,3.9,11.4,6.8,1.8,20.3,37.9,6.6,4,27.6,0,2.7,17.8,4.9,23.3,6.5,62.8,4.5,2,22.9,0.3,2.6,9.1,0.8,2.3,0,353.3,4.3,1.7,35.7,0.1,1.2,0.5,117.9,-199.9
"TTL_K",281.3,41.8,11.6,18.4,5.9,331.1,207,49.2,56.9,49.6,188.8,10.5,80.5,128.9,74,60.4,144.9,47.5,65.8,86.7,19.1,147.5,383.5,37.7,160.5,1245.9,149.7,40.3,89.3,4.1,11,194.8,25.2,81.2,11.2,591.3,297.9,9.6,15,22.4,10.6,24.4,2.8,14.1,0,2927,43.7,1.1,14.1,0.6,38.1,34,252,-1757
"TTL_L",3.7,0,2.3,0.5,0.8,17.8,10.1,1,0.9,4,9.7,0.2,3,2.5,2.4,2.1,9.7,5.8,8.4,4.8,1.1,7.1,1.8,0.2,2.7,54.6,6.7,2.7,10.1,0.6,0.5,19.9,4,3.5,1.7,23.7,4.6,2.8,15.2,2.9,1.1,1,0.5,0.9,0,3350.9,27.6,12.4,24.6,0,94.9,153.6,577.1,-426.8
