"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",205.5,9.4,0.2,2.3,0,2175.1,45,17.7,7.4,0.6,5.5,2.1,3.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0,12.2,0.1,0.1,1.5,124.1,0.2,0,0.1,0,0,102.3,0.5,0,2,0,2,7.5,4.9,32.3,0.6,1.3,2.1,3.3,0,2011.6,0.3,0,22,34.5,4,11.7,281.1,-965.7
"TTL_A03",26.4,59.9,0,0.3,0,252.2,3.6,0.6,0.5,0.1,0.7,0.5,0.3,0,0,0,0,0,0,0,0,0.9,0,0,0.1,8.5,0,0,0,0,0,63.6,0.8,0,0.5,0,0.5,2,1.2,8.1,0.2,0.5,1,1.4,0,287.6,0.1,0,0,5.6,0.3,1.1,51.8,-12.6
"TTL_B05_06",3.6,0.6,134.6,45.4,6.4,41.9,22,3.7,11.5,676,22.7,0.6,5.3,11,10.4,7.7,6.1,3.3,5.6,4.8,4.4,5.3,641.1,5.9,13.4,18.6,1.2,0.2,0.4,0.2,11.1,46.5,2.2,48.9,2.3,27.4,2.9,6.8,4.6,6.2,0.1,0.2,0.1,0.4,0,344.7,0,0,56.6,27.2,0.3,0,633.6,-976
"TTL_B07_08",0.1,0,1.3,21.5,3.4,5.4,3.5,0,0.1,23.4,222.2,16.5,0.1,53.3,0.3,0.4,0.2,0.2,0.3,0.2,0.1,0.1,0,0,109.1,0.2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0.2,3.8,0.1,0,42.6,-104.9
"TTL_B09",0.9,0.8,134.7,11.5,25.7,1.4,0.1,0,0.3,11.9,2.6,0.1,0.1,5.7,4.1,0.8,0,0,0.3,0,0,0,3.2,0.4,14.2,0.1,0.8,0,0,0.2,0,0.1,0,0,0,0,0.2,0.2,0.1,0.6,0,0,0,0,0,0.3,0,0,0,0,0,0,1.6,-2.3
"TTL_C10T12",239.1,20.8,0.9,0.9,0.4,679.1,11.5,0.2,0.4,1.3,38.5,11.5,0.7,1.4,0.4,0.6,0.7,0.4,0.7,0.5,0.2,0.4,0.7,3.7,6.6,39.3,3.8,0.7,1.3,0.4,0.4,469.2,0.4,0.4,4,3.5,4.2,13.5,7.7,36.5,0.7,1.7,1.5,1.6,0,3936.1,0.7,0.1,0.6,38,16.9,54.7,1057,-751.8
"TTL_C13T15",0.7,0.2,8.4,2.2,0.3,10.4,1350.1,1.1,4.9,0.7,1.6,0.3,4.3,1.9,0.1,0.4,0.7,0.4,0.6,0.7,0.2,13.7,0.4,5.7,4.9,17.8,1.9,0.5,0.7,1,1.7,2.2,2.2,1.2,6.6,0.1,6,21.8,16.6,64.8,1,2.8,3.5,5.9,0,1585.7,0.2,0,0.9,36.9,7.8,20.6,2532.7,-1243.9
"TTL_C16",1.1,0.1,1.5,1.3,0.2,18.4,11.4,119.9,19.1,0,1.4,0.3,6.9,3.6,0.9,5.3,4.1,2.3,3.9,2.7,1.8,73.3,0.2,0.9,139.5,3.6,0.8,0.2,0.1,0.7,0.1,0.2,1.1,0.1,0.8,0.6,1.7,2.4,2.2,3.9,0.1,0.1,0.4,0.5,0,111,0.1,0,5.1,4.9,0.7,1.4,26.8,-154.1
"TTL_C17_18",0.8,0.1,1.4,1.1,0.3,80.7,35.4,9.3,170.2,0,5.4,2.5,5.6,4.4,1.2,4.5,8.1,4.8,4.7,2.6,0.9,8.2,0.2,1.9,7.1,16.7,1.8,0.2,0.5,1.4,1.1,0.6,51.3,1.2,4,8.4,2.5,14.7,5.5,13.7,0.4,0.4,1,0.7,0,252.6,0.1,0,10.5,7.8,2.1,4.2,145.4,-251.7
"TTL_C19",124.5,23.3,20.7,22.5,9,45.5,29.6,3.2,4.5,0.2,23.3,2.7,5.2,37.5,9.3,10.4,9.2,6.6,9.4,4.8,1.7,4.3,20.1,4.9,105,26.6,118.6,21.2,41,11.6,6.7,6.6,1.4,4.3,2.6,0.9,4.5,7.8,10.2,25.7,0.2,0.6,0.8,0.7,0,870.4,0,0.1,0.8,14.8,6.1,7,88.4,-1053.1
"TTL_C20",50.2,1,18.9,9.5,3.5,91.1,154.1,18.9,40.4,0.1,437.1,61.1,106.4,7.9,10.2,25.1,36.2,26,14.6,19.1,5.1,25.8,0.3,7.5,30,3.4,0.8,0.2,0.2,0.4,0.1,1.9,5.2,0.1,6.2,1.8,12.3,32.4,20.2,16.9,0.5,1.7,0.9,2,0,317.2,0.1,2.8,1.9,12.7,2,2.7,860,-1059.7
"TTL_C21",8.5,0.6,1,0.8,0.1,17.1,9.8,1.1,3.9,0,42.5,239.8,3.3,0.5,0.8,1.6,4,1.4,1.7,1.4,0.6,3,0,0.5,2.5,0.4,0.1,0,0,0.1,0,0.3,0.5,0,1.5,0.4,1.3,9,2,5.9,0.1,1.5,0.1,0.3,0,439.5,0.1,169.1,0.7,4.7,1.5,4,75.4,-405.1
"TTL_C22",1.6,0.2,2.6,2.6,1.6,90.3,63.4,9.7,20,0,9.9,3.4,73,6.4,2.5,10,22.6,18.5,19.2,22.8,3.6,27.5,0.3,3.3,91.7,12.8,3.7,0.2,0.3,1,0.5,0.4,7.2,0.4,1.3,1.4,1.9,4.7,3.2,6.4,0.1,0.3,0.3,0.5,0,206.2,0,0.1,8.6,8.3,0.2,0,262.4,-571
"TTL_C23",0.5,0,2.9,3.1,1.7,18.6,3.3,1.1,0.8,0.3,5.2,1.5,1.8,154.8,1.7,3,5,3,2.8,2.9,0.7,1.5,0.4,0.6,750.4,1,0.3,0,0.1,0.1,0.1,14.4,0.2,0.2,0.3,0.2,0.5,0.7,0.4,1.7,0,0.1,0.1,0.1,0,124.9,0,0,0.8,7.5,0.1,0,148.2,-146.5
"TTL_C24",0.5,0.1,0.6,0.7,2.2,26.4,12.5,1.7,5.3,0,6.3,0.8,7.8,9.3,146.1,258.2,84.2,137.1,114.4,97.5,27.3,21.7,11.7,0.1,167.7,1.5,2.8,0.9,0.6,1.5,0.6,1.2,0.7,1.1,2,0.3,4.2,11.4,2.6,2.8,0,0.1,0.1,0.4,0,46.8,0,0,40.5,7.4,0,0,215.8,-980.4
"TTL_C25",2.2,0.3,0.9,1.1,5,89.3,43.5,7.3,4.2,0,8.5,2.1,9,8.6,25.1,186.6,81.5,63.8,114.7,81.3,26.1,30.8,14.6,0.1,250.1,4,4.6,1,0.8,3.3,1,4.2,1.5,2.4,6,0.5,8.4,15.8,12.3,7.6,0.1,0.1,0.3,0.3,0,195.7,0.1,0,143,12.9,0.1,0,395.8,-478.6
"TTL_C26",0.7,0.1,0.3,0.3,0.7,17.4,12.4,1.6,6,0,4.4,1.6,3.8,2,3.4,25.2,475.3,63.6,43.3,39.3,19.9,34.4,14.8,0.1,49,5.9,4.1,0.9,1.7,3.4,1.8,3.6,6.3,15.3,38.9,1.7,3.5,33.9,12.9,18.3,0.3,0.9,0.6,1.5,0,504.1,0.2,0.1,316,23,1.5,3.4,1164.5,-1173.3
"TTL_C27",0.3,0.1,0.1,0.2,0.7,7.3,5.2,0.6,1,0,1.2,0.4,1.3,0.8,1.9,7.4,43.5,66.9,26.2,17.2,5.5,8.1,10.6,0,53,1.8,1.7,0.3,0.3,0.9,0.3,1.2,0.6,1.9,3.1,0.2,2,6.1,3.4,2.6,0,0.1,0.1,0.2,0,105.6,0,0.1,60.3,9.6,0.8,1,645,-202.8
"TTL_C28",3.3,0.5,2,2.6,7.2,70.1,60.7,5.8,11.2,0.1,8.4,2.6,8.3,10.7,20.4,47.3,69.9,39.7,282.4,87.3,27,31.4,27.9,0.1,163.9,5.2,9.5,2.8,3,6.2,2.6,3.7,3.7,3.6,6.3,0.8,5.7,18.8,18.6,7.8,0.1,0.3,0.4,0.6,0,365.4,0.1,0.1,706.9,20,0.2,0,454.8,-1250.4
