"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",17010.2,5.5,47.4,69.8,0.3,28457.4,5443.2,630.5,229.8,20,146.9,85,239.3,26.5,7.4,5.2,0.7,5.9,7.8,28.1,2.9,142.3,1.5,5.3,104.7,500.1,32.2,7.1,2,2.2,3.1,2236.8,1.8,1.6,2,5.1,51.6,105.4,114.8,871.1,65.9,105.7,45.7,73.7,0,38875.3,0,252.6,3389.6,2212.9,29,226.3,5742.2,-6040
"TTL_A03",4.9,48.7,0.1,0.1,0,130.8,0.7,0,0,0.2,0.1,0,0.3,0.8,0.2,0.1,0,0.1,0,0,0,0.1,0.1,0,2.1,17.2,0.3,0.4,0.1,0.3,0,283.8,0,0,0,0,0,1.3,1.5,6,0.4,2.6,0.7,0.2,0,1253.5,0,0.1,0.3,37.8,2,18.2,13,-18.2
"TTL_B05_06",40.2,1.4,22.7,45.6,3.5,33,29.1,16.9,13.1,7522.1,17.8,1.3,6.8,112.3,675.2,3.9,0.3,5,3.7,6.4,0.6,5.3,4766.6,5.5,56.4,178.5,218.7,9.8,49.3,8.2,3.2,29.4,0.5,3.2,0.5,6.2,270.7,10.5,9.9,32.5,13.4,10.8,1.8,32.1,0,1453.9,0,0.5,88.5,63.6,2.9,0.1,863.8,-12009.5
"TTL_B07_08",39.6,0.3,20.5,521.4,7.6,71.2,78.3,4.3,33.8,293,332.3,1,22.4,1326.4,4228.7,40.7,1.4,32.2,10.5,24.3,1.4,19.8,23.1,6.6,665.4,49.2,34.5,0.6,0.9,0.4,0.1,2.9,0.5,0.9,0.2,0.9,17.8,16.4,5.7,5.4,1.7,18.6,1,2.8,0,566.1,0,9.3,167.8,162,0.9,0.7,764.2,-557.3
"TTL_B09",4.2,0.2,21.9,52,9.8,1,0.5,0.2,2,145.1,4,0.1,0.9,22.9,42.2,2.4,0,0.3,0.7,0.3,0,0.4,73.8,1.3,89,1.2,5.9,0.2,0.2,1.1,0,0.4,0,0,0,0.1,2.2,0.6,0.6,2,0.2,0.2,0.1,0.3,0,1.7,0,0,1,0.2,0.3,0,2.6,-31
"TTL_C10T12",2074.4,67.6,2.1,37.7,0.6,8755.1,302,7.8,85.6,10.9,114.7,39.8,42.9,29.1,17.6,17.2,1.6,18.2,14.1,9.3,4.8,45.4,16.3,15.4,71.2,736.9,74,15.1,6,9.4,14.6,6799.8,11.1,13.7,5.7,27.7,13.2,102,195.4,670.7,91.6,206.8,81.5,127.8,0,49424.7,0,1016.3,16.2,1329.6,105.6,855.2,5289.6,-4471.6
"TTL_C13T15",70,4,21.1,106.8,1.5,159.7,19851.5,17.3,221.3,20.3,125.2,47.9,154.6,173.2,100.6,54.2,19.7,85.3,82.9,186,18.4,636.7,39.3,15.2,239.3,617,134.7,2.6,62,18.2,21.3,82.3,16.2,4.4,2.8,16.5,67.8,84.9,181.4,457.3,57.4,84.9,53.4,548.2,0,28353.3,0,1657.5,1044.3,1581.3,49.6,726.4,17881.3,-6389.2
"TTL_C16",46.3,0.8,3.7,2.9,1.1,30.5,43.4,986.4,45.9,3.4,26.2,3.2,49.3,114.8,92,70,3.5,61.2,40.1,13.8,19.3,1354.1,4.4,8.1,1857.4,119.5,68.2,0.4,1.5,1.2,0.7,6,2.2,1.9,3.9,3,21.4,42.4,18.6,23.6,7.4,22.1,2.4,102.3,0,421.6,0,3.3,113.3,112.4,4.5,34.7,479.1,-852.7
"TTL_C17_18",103.4,6.1,1.7,28.1,0.9,656,509.1,91.9,3329.5,40.1,281.2,79.8,264.9,397,123.1,113.6,26.1,164.6,90.8,71.4,9.7,170.8,56.2,55.9,169.3,1277.4,227.6,1.7,6.5,69.1,50.4,188.1,787.4,76.1,56.3,335.2,34.7,832.2,639.2,384.4,226.4,198.4,105.6,171.3,0,2607.4,0,15.9,100.6,283.2,12.9,84.5,972.6,-2625.4
"TTL_C19",1181.1,45,123.6,1002.7,11.8,223.7,332.3,47.3,93.7,1260.6,393.3,27.8,252.1,783.9,214.5,113.3,7.3,150.1,61.3,102.7,11.2,99.6,211.4,98.2,1644.5,1403.4,6380.3,262.6,1646,226.7,100.2,151.1,12.5,26.8,11.2,88.1,392.1,161.5,260.6,837.9,150.8,89,16.9,222.1,0,4125.2,0,5.3,125.6,358.3,42.8,125.8,1612.1,-12039.6
