"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",2020.4,23.9,0.1,0.2,0.1,6114,327,67.9,3.4,1.9,38.1,53.5,85.1,2.6,2.1,1.2,15.1,0.8,3,1.2,0.4,7,1.7,0.7,84.9,106.5,1.1,2.1,2,1.1,0.5,842.9,2.1,0.9,0.4,1.7,4.7,6.1,12.5,77.5,9.9,1.7,17.6,25.9,0,8128.1,1.5,1,146.4,62.9,98.8,61.3,362.1,-3465.8
"TTL_A03",6,119.5,0,0,0,141.1,0.4,0.1,0,0.3,0.9,1.3,0.1,0.3,0.2,0.1,2.6,0.1,0.1,0.1,0,6.7,0.2,0.1,0.3,9.3,0.2,0.3,0.3,0.1,0.1,23.8,0.1,0.2,0,0.2,0.2,0.3,0.2,4.9,0.1,0.2,1,0.3,0,2220.3,0.3,0.1,0.6,9.5,7,4.5,641.2,-279.3
"TTL_B05_06",1.4,4.5,10.1,22.6,10.7,5.3,22.5,0.3,9.7,14834.4,292.3,1,7.9,257.1,564.3,5.1,23.6,16.4,5.1,1.1,1.2,3.6,4570.5,1.7,131.3,25.4,19.9,6.9,27.1,2.4,0.6,13.3,0.4,0.5,0.3,0.9,1.7,2.3,2.6,4.2,0.4,1.3,0.4,2.1,0,82.7,0,0.2,17.7,53.7,8,0,11.7,-20600.5
"TTL_B07_08",0.2,0.1,0.4,6.4,2.1,3.5,16.6,0.1,9.3,148.2,378.5,0.3,5,663.5,1921.8,5.1,28.1,5,3.5,0.8,1.1,1.6,1215.6,1.1,579.9,1.1,0.2,0.4,0.3,0.1,0.1,2.9,0.1,0.1,0,0.1,0.1,0.5,0.3,0.2,0.1,0.3,0.1,0.4,0,10,0,0.2,3.6,11.7,3.4,0,9.6,-3779.3
"TTL_B09",0.1,0.1,6.5,0.7,1.1,1.5,0.2,0,6.6,142.7,25.9,0.1,1.9,139.4,28.9,1.5,3.1,1,1.5,0.2,0.1,0.6,273.4,0.5,128.5,1.1,0.1,0.6,0.4,0.1,0,0.4,0,0.1,0,0.1,0.2,0.3,0.1,0.2,0,0.1,0,0.1,0,1.1,0,0.1,1.3,0,0.5,0,8.1,-143.6
"TTL_C10T12",1916.1,314,0.3,1.1,0.5,3349.3,222.6,7.9,18,17.2,183.9,68.7,28.8,10.7,40.1,18.7,111.9,12.5,22.8,5.4,7.1,75.3,18,2.5,33,320.7,4.7,5.5,10.7,3.7,1,3214.3,12,2.5,2.3,11.3,23.1,16.6,4.5,146.5,32.4,55.1,198.6,42.8,0,18478.3,4.2,20,132.1,105.5,406.2,225.6,2249.5,-6425.6
"TTL_C13T15",14.9,75.9,1.2,2.2,1.1,30.7,4624,1.9,66.7,18.5,280.1,16.6,281.4,47.3,34.8,59.3,318.9,24.3,51.2,83.2,24.3,155.9,12,9.7,67.8,106.1,6.3,3.9,10.7,4.9,3.4,159,12,3.6,2.9,9.8,3.8,59,5.1,54.4,15.4,21.8,7.6,57.3,0,6329.5,2.1,11.4,89.1,81.7,201.4,157.3,9499.4,-5176.2
"TTL_C16",13.7,6.9,1.4,6.2,3.1,2.5,8.5,397.8,112.7,2.6,15.1,0.4,8.5,24.5,13.2,47.5,18.1,11.6,25.9,13.9,31.9,97.9,3.5,0.9,996.8,77.4,0.9,0.6,0.8,1.4,0.2,7.1,8,0.3,0.6,0.8,0.4,30.9,5.3,7.5,10.3,2.1,2.6,1.1,0,79.7,0.3,0.9,7.3,6.9,16.4,7.7,130.2,-922.3
"TTL_C17_18",11.7,5.3,0.6,0.4,0.2,253.1,115.2,11.4,2808.4,25.5,377.2,46.8,98.3,117.2,48.4,113.9,466.2,58.6,63.3,25.9,22.7,49.5,23.8,9.2,80.4,1315,10.3,1.2,8.4,10.3,11.4,283,1003.3,34.5,25,416.2,13.7,602.5,239.5,382.3,134,103.7,46.5,166.8,0,801.3,0.7,3.3,34.4,34.3,49.9,39.1,1688.3,-1997.5
"TTL_C19",94.2,284.9,19.4,219.4,76.2,134.9,293.6,14.8,185,4016.6,7509.6,12.7,222.7,533.5,1551.3,283.9,697.7,84.7,211,52.7,47.2,44.8,1964.9,68.8,398.8,1526.7,1262.1,326.5,1649.1,127,32.8,127.8,22.3,16.9,8.5,41.6,59.2,91,154.3,261.2,47.6,93.5,26.1,125.3,0,3836.9,0.2,5,65.7,119.8,202.7,144.9,11508.3,-8086.6
"TTL_C20",349.4,11.4,3.7,21.4,10.9,178.2,2290.3,37.7,709.3,885.2,34228.6,137.4,4811.9,574.4,1170,918.7,7594.1,310.2,239.1,214.5,140.2,194.6,209.8,160.8,802.2,232.4,20.6,7.2,16.7,11.2,2.1,244,102.6,12.3,5.5,26.3,16.4,258,322,104.1,136.7,231.2,27.1,580.1,0,3124.3,1.3,34,228.1,229.9,56.5,52.1,34611,-22691.6
"TTL_C21",57.4,9.5,0.1,0.2,0.1,63,10.4,0.8,3.9,9.2,91.1,397.6,14.7,4.4,12.8,7.2,68,15.8,13.6,3.1,3,4.2,3,1.9,20.1,12.2,1.2,1.3,2.5,0.8,0.1,27,1.6,1.6,0.9,1.7,1.2,64.6,2,26.5,18.9,1474.1,2.3,3.1,0,953.1,0.8,1670.7,36,19.3,45.2,17,568.5,-2415
"TTL_C22",53,5.2,2.7,16.8,9.9,326.9,213.1,17.8,276.9,79.7,518.1,45.1,1507.4,65.9,50.1,299.9,2520,352.1,596.2,499.1,259.5,219.3,13.6,80.7,715.7,1212.4,114.8,3.4,6.5,6.5,1.4,260,36.6,2.9,3.2,7.7,4.1,67.4,44.7,104.9,36.3,41.8,16.1,179.6,0,1160.9,0.1,10.2,102.1,41.3,2.1,6.4,8134.3,-3740.2
"TTL_C23",8.5,2.9,2.3,10.5,5,76.3,126.4,1.7,25.8,31,237.2,53.6,21,1658.2,586.7,88,3038.2,52.1,83.2,100,24.3,26.7,90.7,51.1,5255.8,55.2,4.3,5.8,3.1,4.8,3.1,60,4.9,1.7,2.4,12.3,5.5,24.8,11.8,89.8,49.5,30.5,5.1,19.7,0,451.9,0.6,28.8,83.7,42.1,1.4,16.2,2330.4,-3183.3
"TTL_C24",14.5,13,13.4,7.9,3,69.7,38.5,3.4,101.2,364.3,1055.2,6.9,219.8,180.6,21123.8,7838.5,2190.8,1919.1,4899.4,1059,697.9,427.7,154,39.5,3496.4,144.2,42.9,11.6,50.9,13,2.3,28.3,6.8,2.9,4.3,11.1,11.4,30.2,14.7,45.8,20.3,21.3,5.1,38.8,0,318.5,0.2,11.2,191,134.3,1.3,13.3,14931.2,-14570.8
"TTL_C25",48.3,4,3.3,18.6,12.2,252.2,68.2,21.1,52.6,111.7,226.2,17.2,287.3,108.8,706.6,2752.3,1204,376,1991.2,409.2,224.9,282.5,28.7,30.6,3039.2,159.3,12.2,4.5,15,8.5,2,104.7,13.4,4,10.1,13.3,13.5,70.2,24.1,1229,58.2,72.1,11,71.4,0,1652.1,0.6,23.4,2065.2,62.1,2.7,14.9,14165.7,-5397
"TTL_C26",375.4,62.3,6.7,9.1,4.5,951.4,304.6,45.7,225.9,378.5,1262,129.8,230.3,169.5,958.9,469.4,72371.2,1147,1999.3,300.8,375.6,275.4,189.3,426,1155.7,418.4,40.2,20.1,56.8,16.3,3.2,438.6,347.6,323.1,555.8,113.7,46.3,831.5,176.8,537.8,471.4,1043,114.6,93.1,0,14483,2.9,392.6,11830,545.9,52.6,131,148088.4,-56429.7
"TTL_C27",18.3,4.2,2.3,7.7,4.7,45.5,23.9,2.6,14,74.3,99.7,6.5,38.3,35.1,123.1,124.1,1592.3,3973,2168.6,343.8,187.5,198.7,113.5,24.8,2968.9,156.6,15,11.7,23.5,14.1,1.7,30.6,31.9,106.1,35.2,13.6,36.3,121.8,76.7,184.5,239.7,75.4,10.5,95.9,0,4737.2,0.6,36.5,1425.3,91.6,22.9,24.6,6014.9,-8782.7
"TTL_C28",48.9,11.8,12.4,69,40.6,70.8,37.7,5.9,40.1,256.8,261.1,6.3,97.4,151.7,247.8,292.8,1187.9,502.7,4351.3,266.4,261.3,852.3,87.3,132.4,1410.6,78.4,11.7,6.9,25.1,11.2,2.5,29.1,13.6,6.1,5.9,34.9,24.1,25.4,51.6,108.9,61.3,86.7,10.9,44.1,0,383.8,0.5,20.4,19550.7,111.6,1.9,10.6,18135.7,-18306.6
"TTL_C29",10.2,1.7,0.9,0.9,0.5,28.5,14,1.5,6.3,35.6,34.5,3.3,10.7,9.3,34.8,80.7,187,54.2,102,4680.3,148.1,13.4,6.9,2.8,76.1,303.2,73.7,3.7,8.7,5.4,0.7,13.3,3.4,2.6,2.9,4.9,3.1,15,37,139.9,10.6,20.4,2.3,540.6,0,5358.3,0.3,11.2,3782.4,52.2,30.8,22.8,6714.5,-6148.9
"TTL_C30",2.9,33.2,0.4,0.5,0.3,6.8,4.9,0.4,2.8,6.8,16.8,0.8,4.2,5.1,25.9,12.7,86.7,10,27.1,205.7,4008.5,412.1,3.5,5.3,16.3,196.7,15,29.4,76.5,17,0.8,3.9,1.5,0.9,1.6,3,2.2,4.2,5.9,15.7,6,91,3.4,171.4,0,1837.1,0.1,5.1,2202.5,-10.3,0.2,3.2,6113.9,-4305.5
"TTL_C31T33",11.7,43,5.8,6,4.7,36.9,58.1,4,45.8,106.3,250.4,12.7,58.1,67.3,467.5,77.5,1101.6,39.8,140.1,44,75.3,422.6,236.5,125.4,136.8,153.4,238.4,78.3,1026.1,85.1,20.1,40.4,18.7,5.8,14.4,82.2,11.8,36.1,48.1,179.8,101.1,352.8,92.3,53.7,0,1985.4,0.3,94.9,1005.2,-252.2,179.5,74.5,2242.2,-3458.7
"TTL_D",36.3,40.7,4.5,19.9,9.9,202.2,428.9,19.2,337,2025.2,2529.3,29.9,355,696.6,1319,453.2,2670.6,109.4,184.5,116.7,61,78.7,2700,114.8,123.4,1543,131.2,6.2,35.1,46.8,9.3,463.6,33.7,96.2,22.2,114.4,180.7,94.8,44.1,208.4,337.9,285.2,99,211.1,0,3195,1,1.5,244.5,0.5,2.6,2,33.7,-90.4
"TTL_E",10.7,1.1,0.5,2.2,1.2,58.8,34.8,2.7,344.3,31.6,162,3.5,33.9,84.1,2062.7,50.4,139.5,6.6,15.4,11.1,7.3,8.9,30.5,1128.4,31.4,89,4.3,1.2,9.2,3.5,1.5,74.3,4.4,3.8,6,37.5,18,56.4,12.8,1062.2,249.6,77.8,36.6,37.5,0,338.6,9.2,280.4,54.8,0.3,1.1,1.1,13.5,-28.2
"TTL_F",36,24.6,4.4,23,11.6,64.8,72.4,6.4,47.6,203.5,320.2,12.4,61,94.2,272.7,120,554.7,41.3,114.2,12.8,29.6,61.5,58.5,89.9,99.6,909.4,158.9,7,16.2,68.5,4.6,99.1,104.6,213.9,17.6,88.8,2311.9,81.7,48,315.6,159,134,37.1,57.7,0,303.7,2.4,19.3,35633.6,2.2,10.2,15.7,450.4,-164
"TTL_G",1992.5,342.6,13.8,70.6,32.4,4602.7,1953.3,163.8,1029.2,1706.5,6864.9,529.2,1383.4,798.7,3638.3,2002.5,14368.8,1697.1,2882.3,2100.9,906.8,719.7,902.5,227.5,3756.4,3862.2,2271.8,146.7,311.4,141,94,2711.5,647.3,167.7,198.7,406.8,258.4,780,322.8,822.1,443.7,2135.4,289.3,612.5,0,36519,13.9,1755.3,10091.8,373.3,528,544,36528,-37424.7
"TTL_H49",76.9,40.7,7.3,43.1,19.8,216.7,136.4,21.1,81.9,274.1,598.9,30.5,108.5,258.2,461.2,223.9,1293.5,139.8,348.5,133.8,74.6,88,242.6,119.5,587.5,987.8,165.5,400.1,85.5,256.5,197.2,121.3,55.5,32.8,87.4,308.9,85.9,178.4,79.9,212.7,147.4,280.2,19.1,134.2,0,4465.6,1.9,383.4,822.9,223.1,864.3,599.8,1731.6,-5619.8
"TTL_H50",3,11.8,4.5,18,8.9,11.8,10.2,1.1,5,51.1,62.7,1.1,11.1,32.4,44.7,18.6,123.9,14.1,42.1,9.6,8.6,5.2,22.5,1.2,39,531.2,23.5,2744.3,43.1,132.6,8.4,5,13.2,4.6,1.4,2.8,1.1,4,17.8,32,14.5,4.5,9.8,11.8,0,253.4,0.1,7.4,53.3,72.3,210.1,136.4,2973.5,-997.9
"TTL_H51",15.2,2.7,5.8,4.6,3.2,43.9,29.4,4,17,106.8,130.8,6.1,23.7,27,97.4,47.3,329.7,31.2,88.3,25.7,16.6,26.7,52.3,2.8,79,196.8,18.2,16.4,119.6,19.8,345.2,21.9,13.9,6,9,29.9,6.4,46.4,25.4,95.1,54,38.3,4.5,33.7,0,4193.4,0.4,26.1,107.7,516.2,577,508.7,4510,-3712.2
"TTL_H52",7.7,24.6,16.9,27.4,12.9,81,103.4,9.3,44.3,87.8,390.5,9.5,133.8,74.3,245,198.6,750.2,109.9,238.1,82.6,34.9,33,24.5,4.8,84.1,1689.1,129.9,1715.7,1116.1,312,21.3,33.2,28.9,36.2,9.1,26.1,13.2,12.8,23.4,79.2,8.1,17.5,21.8,19.8,0,701.3,1.2,6.1,281.5,7.9,25,14.4,2786.5,-5126.8
"TTL_H53",0.8,10.4,0.7,6.2,4.4,10.8,26.4,2,9.8,8.6,25.8,4.2,25.1,7,21.8,37.7,203.6,14.9,41,11.3,4.6,12.9,2.8,12.4,24.5,380.3,13.5,5.8,6,39.6,182.8,43.1,12.6,85.3,10.4,193,36.9,62.8,30.4,181.9,32.5,25,3.5,37.1,0,534.4,0.3,0.4,8.4,0.1,17.9,10.6,47,-282
"TTL_I",12.8,1.9,0.5,1.4,2.2,54,135.3,3.3,22.9,30.9,151.9,108.4,216.1,41,59.9,91.8,915.6,78.1,167.7,31.5,26.3,55.1,6.6,87.2,94.8,1923,23.5,12.4,314.9,38.1,3.9,50.2,66.2,29.4,39.8,168.3,76.7,167.3,38.2,699.4,250.7,115.1,52.5,410.9,0,13591.7,6.7,133.1,26.3,0.7,4159.6,4585.4,149.4,-4203.6
"TTL_J58T60",4.5,1.3,1.5,2.8,1.8,112.9,44.5,3.1,20.1,10.6,79.8,22.8,37.4,15.4,20.5,33.7,310.6,28.6,43.9,16.7,22.5,24.7,22.7,4.6,78.8,657.6,24.5,11.5,31.2,17.3,5.8,79.8,1961.6,121.2,260,190.1,135.7,1393.2,223.5,242.2,272.5,66.7,267.2,233.2,0,2300.1,10.2,78.4,955.9,-115.1,64.2,34.4,1669.4,-2654.1
"TTL_J61",11.3,4.7,1,4.2,3.8,41.8,64.3,7.2,47.1,44.8,75.9,7.8,48.7,38.2,32,89.1,450.6,29.7,83.8,15.9,15.2,27.1,12.8,13.5,161.6,1058.5,43.6,7.1,31.9,36.8,10.2,146.1,73.6,1981.7,282.6,304.9,90.4,186.7,146.8,784.1,102.5,233.4,50,185.1,0,5356,1.5,12.6,314.1,1.9,258,186.3,711.4,-1988.9
"TTL_J62_63",4,0.8,0.5,0.5,0.3,29.5,34.4,2.5,15.3,19,72.4,6.7,24,13.4,22.1,18.5,418.9,18.3,28,12.5,13,13.5,13.2,9.6,41.6,842.3,12.7,12.1,47.5,18.5,2.6,155.3,40.8,36.7,329.2,277.3,167.1,86.6,78.5,206.9,48.3,50.5,24.3,13.6,0,240.9,1,15,4915.2,1.4,6.7,4.3,974.3,-2573.8
"TTL_K",101.1,26.2,4.5,16.2,8,240.2,373.4,29.9,246.8,356.2,863.2,47.6,399.9,244.8,883.5,590.4,3970.8,351.5,448.6,194.7,115.8,98.5,286.4,112.1,440.1,2463.1,149.2,84.6,178.6,97.3,24.4,337.1,87.2,123,100.8,8781.3,4399.1,215.1,161.3,1143.7,186.2,296.1,112.7,242.2,0,20706.7,18.7,338.7,576.2,4.8,217.5,192.7,2186.7,-4514.3
"TTL_L",1.2,6.5,0.4,1.9,1.4,30.3,86.2,1.8,24.1,20.1,55.6,6.6,32.9,30,18.1,62.1,607,47.3,114.3,23.1,7.5,22,5.6,20,108.4,3226.9,85.9,23.3,37.5,103.7,13.3,282.1,40.9,56.6,49.2,565.7,345.9,168.8,103.8,41.6,44.6,200,195.2,276.5,0,40030.3,14.1,37.2,5815.5,0.2,781.1,438.5,35.3,-856.8
"TTL_M",52.4,2.9,5.6,10.4,9.2,467.7,195.2,16.8,130,227,448.9,113.9,229.3,118.9,202.9,196.1,1690.5,166.7,222.3,136.1,139.5,98,159.6,81.1,1558.6,3016.1,77.7,15,73.3,94.2,21.7,249.3,301.8,398.5,93.5,1172.9,1681.4,732.6,188.1,124.1,102.7,209.9,77.5,266,0,459.5,13.7,21.7,4109.8,2.2,96.3,38.3,3565,-5245.1
"TTL_N",4.8,1.1,26.3,11.5,9.9,90.2,138.9,3.1,50.6,199.8,370.7,20.9,70.3,550,227.2,257.4,4524,103.3,226.2,96,66.8,84.6,163.1,81.3,362.8,2351.7,326.9,266.9,638.5,252.1,55.2,184.3,69.6,360.7,94,482.9,149.3,293.1,296.4,602.9,301.7,231.1,91.1,85,0,1878.5,9.4,28.1,70.3,0.4,188.6,99.3,1048.3,-6940.1
"TTL_O",42.1,0.5,0.7,4.1,2.3,72.7,47.3,10.2,37.3,77.9,114.1,12.9,59.4,40.7,100.5,124.7,380,46.3,128.8,41,15.3,27.8,163.2,49,231.2,781.6,143.3,28.4,19.6,42.7,5.1,31.1,42.2,88.7,21.1,429.6,327.9,48.8,58.2,4.2,73.4,54.6,52.8,41.8,0,1377.9,21.7,39650.3,56,0.3,39.6,0,7.7,-275.1
"TTL_P",9.6,0.9,0.3,0.2,0.1,13.8,11.2,1,4.9,5.6,23.9,3.1,5.6,9,29.6,27.6,129.6,15.9,10,5.4,4.9,7.4,15.9,13.5,40.3,117.7,6.1,5,13.9,4.8,1,22.9,10.6,29.7,41.4,48.6,25.5,131.7,15.4,309.2,37.4,19.6,4.9,4,0,10219.4,126,13845.5,564.1,0.5,633.8,216,273.1,-684.1
"TTL_Q",85.8,15,0.2,0.9,0.4,184.5,52,1.2,20,16.9,93.7,15.6,16.6,10.1,13.8,10.1,141.9,29.7,23.5,6.5,9.8,11.7,16.8,2.9,43.3,61.7,5.5,3,8.2,2.4,0.6,120.5,30.1,3.1,8.6,11.1,6.2,33.6,7.6,50.7,13.4,56.8,12.8,10.3,0,7123.2,223.4,14394.8,148.3,7.5,202.3,167.8,906.1,-266.3
"TTL_R",0.3,0,0.1,0.1,0.1,10.9,12.1,0.5,6,4.5,16,2.3,8.3,4.9,6.9,17.3,62.5,8.1,19.8,4.9,3.9,22.8,2.3,1.9,19.4,445.1,2.9,1.3,1.8,5.3,0.3,6.4,289.8,1.1,1.9,50.6,66.9,285.4,16.3,129,13.8,5.9,166.9,210.6,0,4097.9,126,561.2,4.5,0.2,460.8,323.1,570.4,-1197.6
"TTL_S",3.5,2.6,0.5,2.9,1.9,30.8,38.3,3.5,27.6,46.8,58.9,5.1,29.6,15.9,67,92.1,227.7,13.8,58.9,24.4,12.9,47.1,38.2,22,152,344.7,148.6,2.3,7.3,25.4,2.3,62.3,18.2,83.3,7.9,229.2,62.3,44.2,24.9,203.3,22,88.3,21.8,193.1,0,12371.3,750.7,3.4,17,0.4,255.7,197.7,63.6,-300.9
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3502.6,0,0,0,0,0,0,0,0
"TXS_IMP_FNL",12.9,10.2,0.9,6.7,2.7,23.6,69.6,2.8,27.6,171.7,443.8,11.3,58.8,39.9,152.7,61.3,719.2,65.6,125.4,86.2,44.6,36.4,78.1,10.2,129.2,59.1,35.7,8.9,70.9,4.3,1.1,33.6,12.5,3.7,5.4,4.1,1.9,19.1,11.2,26.9,11.4,0,0,0,0,0,0,0,0,0,620,0,0,-3321.2
"TXS_INT_FNL",147.8,33.9,2.8,8.9,5.1,280.6,200.6,11.4,104.5,102.1,774.8,48.6,201.7,107.3,337.4,186.4,1467.2,237.5,436.6,541.2,233.9,131.7,160.4,73,494.2,588.3,101.7,-14.5,116.6,26.4,8.6,306.1,108.4,108.1,40.6,102.3,132.2,132.9,63,263.5,89.7,199.8,51.4,267.3,0,10297.5,6.1,64,6415.5,113.4,0,426.1,11.1,0
"TTL_INT_FNL",7750.6,1645,198.1,715.4,345,19118.2,13118.8,972.8,7425.2,27375.9,62111.1,2078.5,11614.9,8178.6,40049.9,18508.9,131277.9,12371.7,23090.7,12051.1,8417.9,5515.3,14401.6,3459.7,30376.7,34738.1,6000.4,6042.6,6355.4,2134.8,1110.5,11594.7,5711,4601.7,2420.1,14834.3,10864.2,7614.8,3277.8,11546.8,4477.5,8645.6,2302.9,5908.6,0,260471.7,1377,74044.7,114287.5,2768.5,11611.8,9769.7,349405.3,-288774.5
"VALU",7619.3,1281.7,292,548.9,292.8,6672.8,4927.7,378,2869.3,5443.9,12095,1275.9,4997.4,3644.7,7423.7,8254.3,77291.6,4675.2,8159.9,4508.4,2973.8,2572.4,7617.2,3260.1,13167.2,85500.2,6935.9,834.1,2689.7,4704.6,1138.9,13732,3793.5,7338.8,4448.3,34526.9,42627,11022.3,7979.2,33456.6,21955.5,15480.7,4572.4,10044.3,3502.6,0,0,0,0,0,0,0,0,0
"OUTPUT",15369.9,2926.6,490.1,1264.3,637.8,25791,18046.5,1350.7,10294.5,32819.8,74206.1,3354.4,16612.3,11823.3,47473.6,26763.2,208569.5,17046.9,31250.6,16559.5,11391.8,8087.7,22018.8,6719.8,43543.9,120238.3,12936.4,6876.7,9045.1,6839.4,2249.4,25326.7,9504.5,11940.5,6868.4,49361.2,53491.2,18637.1,11257,45003.4,26433,24176.1,6883.6,15974.2,3502.6,0,0,0,0,0,0,0,0,0
