"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",7408.2,1.9,9.7,2.6,1.1,5637.8,16.2,212.9,184.1,1.2,57.2,11,1.6,6.3,3.2,0.8,0.2,0.3,1.3,0.2,2.1,33.3,14.1,1.1,7.8,1583.1,60,42.3,16.2,46,0.1,124.7,0.2,0.2,0.6,1.1,12.3,2.6,21,107.4,131.3,49.5,2.6,1.2,0,8232.6,0.1,333.3,108.3,191.4,30.4,12.9,8515.2,-1358.8
"TTL_A03",151.1,32.3,0.2,0.3,0.1,14.6,0.1,0.6,0.5,0.3,0.2,0,0.1,0.1,0.6,0.1,0,0.1,0.1,0,0.1,0.1,0.4,0,0.2,4.8,0.4,0.7,0.1,0.5,0,0.3,0,0,0,0,0.1,0,0.1,0.3,1.8,0.2,0,0,0,111.6,0,1.4,0.4,10.4,2.2,0.2,0.2,-173.4
"TTL_B05_06",159.8,0,301.6,74.7,37.6,523,5.1,24.3,43.1,1986.8,416.2,6.4,5,312.6,1961,11.7,1.4,9.8,38.9,3.3,22,6.4,4437.7,9.8,25,272.5,569.4,139.4,100.7,189.9,4,13.5,0.9,3.3,3.6,1.2,1.6,9.1,61.6,66.5,123.5,38.8,15.5,5.5,0,944.8,0,0.3,2.2,80.6,2.9,0,73.4,-4441.2
"TTL_B07_08",7.5,0,21.5,60.4,11.1,27.8,0.4,0.4,0.8,13.9,20.7,0.2,1.6,240.8,1924.9,1.7,0.2,0.7,1.7,0.3,0.4,2,1,2.3,300.5,23.6,31.4,4,6.7,20.2,3.3,0.7,0.5,0.1,0.5,0.9,1.6,1.4,9.1,0.2,0.6,0.4,0.2,1.7,0,65.4,0,0.2,0.9,32.7,0.8,0,2620.9,-730.3
"TTL_B09",12.2,0,112.1,211.1,137.9,50.4,0.2,0.5,0.8,40.6,5.5,0.2,1.7,160.9,203.1,2.8,0.1,0.4,3.4,0.5,0.3,1.7,3.3,4.6,243.2,51,108,10.9,14.5,53.9,0,1.7,0.1,0,1.1,0.3,4.5,2.8,16,0.2,1.8,1.1,0.2,3.7,0,1.9,0,0.2,1.2,0.1,0.7,0,613.7,-263.8
"TTL_C10T12",176.7,0.1,2.5,7.1,2,1763.4,1,1.4,2.5,3.3,5.8,2.7,2.8,1.8,3.3,0.9,0.2,0.7,1,1,1,2.7,3.7,0.4,3.5,145.1,3.8,2.2,2,2.2,0.2,108,0.5,0.3,5.7,0.4,2.1,22.3,3.4,25.1,30.6,15.9,0.8,1.3,0,16627.9,21.3,85.4,4.5,178.7,104.4,27.4,4278.6,-1198.3
"TTL_C13T15",8.2,0,15.2,7.5,3.3,51.6,231.4,12.3,31.4,2.9,17.6,6.6,15.9,6.2,15.6,6.4,1.1,2.5,4.3,3,10.5,59.5,13.9,2.5,17.8,147.5,11,4.1,4.4,7.3,1.2,7.7,2.5,1,2.8,0.4,17,10.2,11,48.8,9,9.9,5.8,8.2,0,1953.5,22.8,93.1,4.2,23.3,48.9,6.7,141.6,-1667.1
"TTL_C16",19.6,0,8,1.4,0.5,181.7,1.9,450.8,47.4,1.4,9.5,7.4,9.7,23.2,5.4,10.2,0.9,4.6,4.1,2,1.9,52.3,5.1,5.3,50.7,84.8,6.6,1.9,1.1,8.2,0.1,1.8,10.8,1.1,2.5,0.8,9.2,9.3,3.7,59.7,9.3,5,2,5.8,0,154.3,0,0.2,1.3,8.4,5.6,1.4,1158.9,-347.3
"TTL_C17_18",24.6,0,8.2,1.9,0.7,714.1,6.2,44.3,513.2,3.4,28.4,55.8,18.3,34.1,10.2,9.7,2.8,10.9,5.5,2.3,2.1,26.2,6.9,13.5,5.3,294.4,19.7,3.5,6,21.1,0.9,7.7,147.6,7.7,22.3,7.9,12.3,68.2,15.5,258.4,42.9,31.3,11.2,12.3,0,507.6,0,19.6,2.4,25.2,14.1,4.5,437,-821.6
"TTL_C19",1332.3,1,91.8,257.8,75.3,297.7,10.2,40.1,39.8,126.8,107.4,9,23.4,133.4,1473.3,11.7,2.5,37.9,20,5.5,10.5,36.9,192.4,56.2,393.6,894.5,806.2,201.4,338.3,112.3,16,10.8,4.4,6.1,7.6,2.6,48.3,66.4,56.8,58.1,28.2,60.4,5.1,13.4,0,822.2,0,0.8,4.2,45.6,41.6,5.4,201.7,-4495
"TTL_C20",1683.4,1.2,112.7,82.5,25.9,375.4,87.8,123.7,258.2,94.2,644.1,43.9,388.6,135.9,56.1,35.8,3.5,30.4,22.6,9.3,9.9,57.6,13.6,18.3,98.4,349.9,16.2,3.7,4.7,11,0.1,12.6,2.7,0.3,3,0.5,9.3,29.9,14.3,40.8,5.5,70.4,7.2,16.2,0,919.7,0.4,12.1,5.7,37.1,11.6,1.6,572,-3337.4
"TTL_C21",46.9,0,15,0.9,0.3,6.7,0.8,1.1,2.2,1.8,5.4,250.2,3.3,1.4,1.3,0.6,0.1,0.4,0.4,0.2,0.3,1,1.1,0.3,1.9,11.3,0.9,0.3,0.3,0.5,0.2,0.5,2.2,0.4,1.4,7.1,0.8,4.1,0.7,3.5,0.6,508.6,0.4,0.4,0,1681.7,23,12.6,2.8,14.9,8.9,1.5,84.7,-1195.3
"TTL_C22",123.1,0.1,32.9,55.1,20.5,689.8,19.6,60.4,104.1,6.9,80.7,16.9,653.7,52.7,23.8,61.6,7.6,72.1,34.9,38.5,18.7,65.3,15.6,24.2,456.7,333.7,66.6,4.4,5.6,22,3.1,6.1,6.5,3.2,4,1.3,17.7,64.2,27.5,1.5,9.3,18.3,3.4,3.6,0,112.6,0.1,16.2,15.3,21.9,1.8,0,172.1,-1241.7
"TTL_C23",110.9,0.1,14.5,15.2,6.2,276.3,3.9,12.5,5.9,5.7,14.9,21.5,72.5,798,246.6,20.8,4.9,26.2,20.4,4.4,7.6,36.4,14.9,4,1526.2,160,62.8,17.8,21.3,52.7,0.6,6.6,0.3,0.6,0.6,0.5,27.2,89.9,16.3,126,5.8,13.7,1.3,3.4,0,825,0,3,5,31.8,1.5,0,194.6,-687
"TTL_C24",49.6,0,116.5,131.9,74.1,102,2.2,6.9,9.1,14.6,12.3,5,56.8,151.6,3229.6,1023.9,22.3,329.5,613.7,117,230.6,216.6,535.3,233.4,1292.2,334.3,22.4,10.8,4.1,17.1,0.1,0.8,0.2,0.8,1.6,14.4,22.5,83.1,6.3,0.4,1.5,2.8,0.8,4.3,0,8.3,0,0,3.3,107.2,0.3,0,8406.1,-723.6
"TTL_C25",54.1,0,304.3,47.4,20.3,235.6,4.2,25.4,11.8,5.4,11.9,7,45.1,49.4,177.2,268.3,20.8,32.2,134.3,55.1,32.6,111.6,29.8,10,815,181.6,33.9,10,6.8,34.7,1.1,11.3,0.9,5,1.6,2.1,27.9,77.6,18.3,121.3,7.7,9,8.8,5.4,0,184.4,0,2.9,634,24.3,2.4,0,242.3,-1378.8
"TTL_C26",48.8,0,12.3,3.9,2.8,73.2,2.8,3,7.5,2.7,6.9,5.6,5.9,9.8,16.1,13.1,163.9,83.4,31.3,10.9,22.1,47.6,20.3,3.7,163.6,305,10.8,3,5.5,11.3,0.4,3.2,9.2,67.9,176.5,6,11.9,71.5,23.5,39.8,13.5,11.8,3,42.1,0,979,0,73.4,1076.1,20.4,10.3,0.9,98,-3152
"TTL_C27",11.7,0,7.3,12.4,5.1,18,1.7,2.5,3.4,3.7,3.4,2.6,3,4,15.4,8,5.7,58.1,14.9,7.4,5.4,30.7,16.7,1.5,214.1,60.5,7.4,1.6,1.7,4.5,0.3,2.2,1,10.9,7.9,108.3,9.7,35.8,6.8,11.1,4.4,8.6,2,3.4,0,1075.9,0,4.1,769.7,20.1,5.3,1.1,412.2,-1262.4
"TTL_C28",281.6,0.2,295,114.5,46.5,176.2,4.4,26.3,35.3,10.7,17.4,18,10.6,48.8,169.8,46.9,28,114.2,275.5,79.3,242.9,160.8,87.6,6.9,140.2,274.7,33.7,12.8,12.6,29.8,0.4,3,0.6,2.5,4.8,2.3,19.2,59.3,18.4,29,5,6.2,1.3,6.9,0,120.6,0,23.7,2542.4,36.7,1.5,0,647.6,-3548.8
"TTL_C29",251,0.2,10.3,35.5,11.8,39.4,1.5,5.6,5.1,1.6,3.5,1.4,5.7,11.7,6.3,2.6,1.4,4.7,15,93.4,8.9,12.6,11.1,8.7,39,366,105.9,3.6,8.4,23.2,1.8,1.6,0.4,1.5,3.2,1.9,13.7,5.7,19.2,17.5,8.3,7.7,0.9,7.7,0,1776.9,0,74.8,1509.6,31.5,7.6,0.5,97.7,-3605.9
"TTL_C30",63.6,0.1,2.9,14.4,6.5,17.4,0.2,0.5,0.6,0.1,1.2,0.1,0.4,3.7,16.6,21.3,0.7,2.7,2.7,54.3,129.7,140.1,5.3,2.1,34.5,64.9,107.5,96.3,141.2,42,0,0.4,0.2,0.7,3.4,0.1,4,7.4,23.3,0.1,5.8,0.4,0.4,0.3,0,44.5,0,0.1,1149.6,7.1,0.1,0,280.1,-385.8
"TTL_C31T33",22.5,0,151.3,44.1,27.3,51.3,2.2,8.5,7.6,7.2,6.6,11.4,6.1,29.4,89,9.1,3.3,8.5,10.3,8.4,11.5,151.1,58.2,3.8,57.2,185,81.2,19.9,41,60.4,0.5,11.4,2,66.4,16.4,31.1,32.5,30.8,29.1,263.1,13.3,23,3.5,5.1,0,1450.3,0.1,11.1,91.8,2.3,44.8,19.1,996.8,-1130.9
"TTL_D",651.6,1,484.7,712,157.9,850.2,61,88.9,144.2,155.8,353.9,23.1,92.2,275,1406.5,88.1,13.2,60,133,22.3,69.8,61.4,985.8,264.2,100.9,537.2,455.1,36.4,57.8,374.7,5.6,112.7,10.4,119.8,28.8,1.3,2.5,71.6,118.6,249.8,389.5,236.4,68.5,50.9,0,1382.5,0.1,1767.3,2.3,0.2,2.4,0,234.1,-58.2
"TTL_E",16.8,0,3.9,6.3,2.3,32.9,1.2,4.4,9.1,1.8,4.4,2.4,1.1,2.7,42.9,2.1,0.6,1,2.8,0.6,2.1,1.5,215.8,41.8,22.4,20.8,5.1,1.3,1.2,5.3,0.1,8.4,0.2,0.3,0.9,0.2,30.7,5.1,60.1,10.3,13.5,10.4,2.2,4.9,0,163.9,0,879.9,1.3,0.1,1.2,0,0,-19.7
