"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",64417.5,10.5,107.9,78.3,42.9,190554.6,1934.7,7734.4,3854.8,106.1,11709.9,107.8,2728.7,4.8,6.8,6.8,2.7,1.9,8.1,16.2,3.2,723.6,14.1,1.9,2209.1,3043.6,29,36.7,2.9,6.1,1.3,560.9,145.1,10.9,13.9,30.6,87,665.8,956.3,4061,402.8,28.2,432.9,66.4,0,85443.5,987.1,0.5,642.5,14629.8,1034,558,61702.9,-29768.5
"TTL_A03",34.6,153.7,0.5,0,0.1,5700.3,0.3,0.1,0.4,3.1,30.1,0.2,0.1,0.1,0.3,0.2,0.1,0.1,0.3,0.3,0.1,0.2,0.3,0,0.6,568.5,0.3,2.4,0.2,0.1,0.1,3497.7,0.2,0.2,0.1,0.3,0.1,54.9,0.3,389.8,81.6,2,129.9,108.6,0,3057.8,116.6,0,14.3,-163.7,79.7,21.9,2556.4,-11128.2
"TTL_B05_06",1093.7,17.5,53649,714.4,580.7,1773.9,120.8,57.8,1394.5,499303.9,5623.1,85,194.2,1527.5,6230.7,86.5,28,71.6,113,85.2,30.8,71.8,45667,70,1767.2,612.4,2299.4,321.5,1618.1,156.2,409.7,644.6,35.7,48.5,68.8,596.4,678.5,408.5,281.6,34492.6,1783,374.4,79.4,208.5,0,11855.5,5.3,0.8,47505.8,20714.3,46.5,100,27565.8,-355711.4
"TTL_B07_08",1486.9,0.1,831.1,1845.1,91,196.6,53.4,14.3,375.7,146.2,5384.7,63.8,274.2,6032.4,15527.9,504.7,48.5,134.3,179.4,111.9,81.5,225.5,218.8,122.8,9184.1,81.2,114.6,1,2.4,16.8,3.8,80.5,85.5,130.8,92.2,37.3,558,741.4,311.5,1593.9,265.2,128.1,568.6,531,0,650,6.9,0.6,8572.8,2083.5,20.3,4.9,16429.5,-7220
"TTL_B09",21.4,0.2,7956,840.3,831.9,57.1,4.8,6.8,22.5,273.9,48.5,6.3,19.8,20.5,34.2,80.6,21.5,19.8,55.9,118.7,18.9,21.6,45.4,5.1,812.3,63.3,21,4.2,3.6,8.6,4.6,20.2,7.6,24.6,9.5,30,355.4,64.3,16.9,312.5,31.5,26.5,4.7,20.4,0,183.1,3.8,0.7,83580.5,49.8,14.7,0.9,2540.1,-1048.1
"TTL_C10T12",34175.2,3.4,92.6,22,18.8,142904.6,1199.4,84.2,2446.7,554.8,3772.2,1360.6,480.5,214.1,143.4,159.4,93.9,67.4,180.6,213.2,62.8,141.7,52.2,17.4,404.3,7226.6,60.6,261.5,438.5,18.1,14.6,44611.6,99.5,68.4,47.7,45.5,80,2497,126.6,25172.8,16043.8,14575.6,3194.6,1494.2,0,497769.9,1660,29.1,3818.7,30532.5,4078.1,3169.6,47369.8,-63023.3
"TTL_C13T15",454.7,31.5,72.4,17.1,13,310.8,9249.9,377.6,3113.1,141.7,1322,100.8,2015.6,342.8,59.4,173.4,52.4,42.1,642.7,3855.4,544.5,3034.6,22.4,111.2,1572,5700.6,34.1,202,8.3,25,68.9,1451.1,153.3,547.5,52.7,41.5,117.8,347.1,426.4,3270.6,963.7,3294.4,311.8,1381.3,0,130009.7,383.5,4.5,3347.8,6739.3,2105.8,569.4,7787.8,-119297.2
"TTL_C16",210.2,43.2,49.6,16,58.9,326.8,46,12209,3970.2,11.1,252.5,16.1,830.5,300.3,345.2,475.8,118.8,154.8,786.9,2076,169.3,4552.5,5.7,16.3,25179.1,2745.8,1011.6,1.3,3.6,123.1,47.7,888.5,267.5,519.9,729.4,80,2532.6,456.1,560,1009.3,1535.4,1304.9,104.1,273.9,0,7209.4,105.9,2.1,3894,2726.5,169.4,162.3,4628.6,-12419.5
"TTL_C17_18",373.6,0.6,193.6,133.5,68,21594.2,616.9,523.6,46947.3,156.3,5231.9,1598,3324.1,1445.5,1968,1997.2,989,955.6,2244.3,2135.4,499.8,2788,155.3,272,2292.3,22533.7,1140.3,148.5,125.2,1678.5,1140.2,6056.3,9451.3,1937.7,4396.8,7096.4,1055.5,11341.3,6366.7,14186.7,9499.9,9742.7,1349.5,2595.8,0,38409.2,240.1,4.2,1647.5,8359,479.4,522,21144.2,-21542.6
"TTL_C19",13642.2,396.9,10030.6,3771.2,2947.5,4841.1,1020.4,1161.3,4916.4,20724.1,29045.2,1606.5,4620.6,8633,4443.9,1807.5,623.6,1522.4,1913.2,1165.4,435.2,1757.3,27391.5,1475.8,32334,11209.1,50188,7321.9,36911.8,3233.1,9113.1,5033.8,669.6,679.6,1397.3,12593.3,4051.3,4934.2,6362.4,103480.8,35021.6,6667.2,1305.1,3696.3,0,268028.9,32.4,10.5,1321.8,30359,1562.5,2231.9,102060.9,-97734.2
"TTL_C20",27723.8,2.5,6764.5,1460.1,1088.7,8866.6,8525.9,1726.4,16173,13727.2,154957.8,9977.5,44222.5,4141.2,2337.8,6688.5,2927.7,2469.6,4067.1,6069.1,1194.7,7073.8,1385.1,826.2,8720.8,3583.5,583.2,55.5,198.9,790.8,215.8,1846.3,820,803.8,487.9,288.4,5460.6,9518.3,5696.7,23496.2,4617.7,10175.2,426.9,2555.1,0,88813,409.7,127.5,9374.9,21490.9,503.5,763.3,106105.1,-76200.4
"TTL_C21",1834.4,0.6,166,37.8,30.9,1231.7,199.6,90,401.4,319.5,3163.1,17490.8,924.6,114,142.1,227.1,210.5,98.3,225.1,283.2,87,241.8,87,29.8,586.2,893.9,48.5,8.2,26.2,26.6,14.6,206.5,60.1,116.7,66.2,70.5,141.9,2602.7,198.5,1929.1,200.9,26868.9,517.1,109.7,0,149756.4,315.2,9714.8,30282.4,4238.6,389.9,416.5,32677,-77353.7
"TTL_C22",1393.2,0.9,989,1199.1,506.4,14139.2,626.4,600.1,3481.1,377,8383.1,1929.3,12457.9,1026.3,1750.8,2743.3,2179.1,1449.7,6082.6,16960.5,2183.4,7742.4,36.3,291.3,21646.6,14917,667.1,11.5,22.5,502.3,2060.6,4226.1,1521.6,3201.5,856.3,610.1,547,4407.1,2300.1,9092.5,1474,8775.2,182.8,1058.1,0,36667.6,8.7,9,3608,7747.3,46.8,17.8,21964.9,-36079.1
"TTL_C23",147.8,3.7,838.4,251,371.9,4035.3,213.8,506.5,559,53.5,1436.7,379.8,1188.7,9869.5,3067.6,1126.4,473.8,1587.1,2005.8,5049.2,241.4,920.5,42.8,182.1,53287.8,1262.2,60.8,3.4,7.3,145.9,37.9,1397.4,190.3,1885.8,551.7,91.7,120.9,2739.2,991.3,5496.6,425.9,3688.6,97.3,555.3,0,11564.9,3.1,4,1605.4,4438.1,32.1,5,6909.2,-15816.9
"TTL_C24",175.4,0.2,8182.2,670.4,440.6,5114.9,373.8,480.6,989.6,34.1,1629,23.9,1785.4,724,109718.4,77288.6,4858.4,17804,39088.7,30901.5,9293.5,10431.5,477.7,579.2,7052.9,2482.1,1027.7,2.9,5.2,316.8,12.6,133.1,2879.3,1040.2,339.4,9.5,973.6,1834.4,582.2,1625,231.6,695.4,253.2,355.5,0,2044.7,2.1,0.2,6060.9,13179.3,29.1,0,52460.8,-106035.5
"TTL_C25",1790.6,33.4,1798.7,609.8,808,12241.8,739.5,1902.5,5209,532.5,7757.6,490.4,4869.1,2283.7,9532.6,30112.9,6506.9,6862.8,19318.3,45661.4,6194.2,6370.4,188.3,1551.4,52685.8,7175.7,1820.1,1409.1,273.1,637.3,902.8,2586.1,1679.5,4583.3,1996.7,824.3,1174.8,5053,2581.2,11656.8,934.3,2685.6,691.1,1092,0,24228,149.3,8,28708.1,11265.7,59.7,22.8,23520.3,-32127.3
"TTL_C26",276.7,1.6,132.7,29.4,341.3,2192.9,552.7,453,1672.9,237.6,4210.6,165.4,1531.3,804.7,2460.6,3233.7,32498.2,3326,6567.6,9760.7,6722.6,3257,115.6,493.5,5048.7,10830.8,262.7,16.5,36.9,225.6,24.1,504.2,2938.4,14271,5736,1363.6,297.8,11074.6,2152.1,15398.1,1010.3,5311.8,123.2,2601,0,85387.1,327.8,16.3,223943.9,16598.9,522,466.3,86801.1,-207900.6
"TTL_C27",850.3,3.4,159.5,32.8,121.7,745.2,63.4,370.9,455.3,50.4,860.7,62.5,812,264.8,2745.7,1724.3,2798.5,6362.9,9585.6,3206.3,1373.7,1128.2,24.3,417.9,21720.5,1455.4,183.7,28.9,11.7,359.9,13,688,55.2,3352.7,1230.9,169.4,295.8,3246.9,1803.2,4828.1,943.7,1042.2,143.4,773.7,0,44107.7,89.2,5.4,24281.4,5554.4,231,218.6,20465.1,-52656.7
