"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",11930.4,39.4,0.5,1.7,0.7,22084.2,728.5,2376.5,44.1,0.5,1045.4,64.2,572.5,6.5,3.4,0.2,0.6,6.1,0.2,0.2,0.4,1116.2,0.1,1.2,42.9,144.4,0.3,0.2,0.2,4.1,0,1026.2,1.1,0.1,1.9,5.3,18.5,128.9,31.4,5.1,64,5.2,6,2.5,0,11319.8,0,0.1,819.9,56.9,25.5,36.3,8609,-6476.8
"TTL_A03",12.9,2851.8,0.1,0,0,7791.2,0.3,1,0.1,0.1,1.2,9.5,0.2,0.1,0,0,0,0,0,0,0,0.5,0,0,0.1,4.1,0,0,0,31.7,0,325.4,0,0,0,0,0.3,7,0.1,0,9.7,1.6,0.2,0.6,0,5101.4,0,0,0.3,22.6,1.8,2.8,1215,-41.1
"TTL_B05_06",47,9,2561.7,6.1,7.1,53.4,56.8,2.8,45.3,5607.5,616.5,5.7,34.6,1223.9,139.6,45.7,12.8,26.8,2.9,8.3,7.3,34.7,593.9,2.9,51.6,32.8,14.1,4.3,3.9,1.7,0.1,69.9,0.1,0.4,0.2,0.9,9.6,4.6,3.9,1.2,3.8,1.1,1.2,7.2,0,2097.8,0,0,2.3,29.5,2,0,16137.5,-2675.5
"TTL_B07_08",6,0.8,6,86.4,0.1,36.5,2.3,0.2,5.3,0.5,818.1,0.1,19,916.6,244.2,14.2,0.6,1.5,0.2,0.2,0.5,16.6,10.8,2,418.6,21.9,0.2,0.1,0.1,0.7,0,0.4,0,0.1,0,0.1,4.8,1,0.9,0.2,0.1,0.1,0.1,15.1,0,35.8,0,0,0.6,2.6,1.5,0,779.3,-1518.8
"TTL_B09",0.3,0.7,531.9,9.1,0.3,0.5,0.2,0,0.1,8.6,4.8,0,0.2,4.6,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.5,0,1.8,0.3,0.1,0,0,0.1,0,0.2,0,0,0,0,0.1,1,0,0.1,0,0,0,0.1,0,5.1,0,0,0.2,0.1,0.2,0,2.9,-35.7
"TTL_C10T12",6492.1,4647.6,17.6,2.1,0.5,19112.9,27.4,2.1,77.7,47.3,33.9,78,16.7,30,3.2,3.3,3.8,2.2,1.1,0.9,0.8,93.3,1.8,1.2,5.6,237.3,7,5,21.7,4.7,0,3024.4,0.9,0.3,1.7,2.4,12.3,31.4,4.3,5.2,65.5,20.3,1.5,11.5,0,22488.1,0,0.3,9.2,48.5,98.1,164.6,17285.6,-5915.5
"TTL_C13T15",108.1,174.8,97.4,8.4,1.2,38.6,19963,32.3,125.4,31.9,30.9,3.2,54.1,101.9,8.2,10.3,18.5,9.5,4.6,75.6,26.3,387.5,18.3,22.1,73.4,211.1,22,4.5,9,20.4,9.3,112.6,4.2,12.5,1.7,33.3,47.3,27.2,33.7,63.8,58,24.2,29.5,153,0,5825,0,0.3,3.3,54.9,53.3,120.4,31134.6,-12599.1
"TTL_C16",94.7,25.1,0.8,0.8,0.2,51.9,68.2,1742.9,301.8,0.3,55.1,0.8,12.1,27.8,3.5,6.4,7.6,7.4,5.3,0.8,2.3,2408.8,0.9,1.3,284.4,57.6,0.7,3.4,0.3,4,0.1,8.5,0.2,3.5,0.1,2.5,18.8,9.8,1.1,9.8,4.2,1,1.3,11,0,273.7,0,0,4.7,-1.2,4.3,6.1,1428,-300.4
"TTL_C17_18",139.7,8.4,10.3,1.1,1,608.6,678.5,72.6,3002.6,1,106.5,43.3,154,200,5.5,23.4,270.2,219.1,9.3,11.8,7.3,554.6,8.4,2.9,41.9,541.1,13.2,1.8,1,11.9,15.6,103,264.6,24.4,8.9,114.5,39.5,158.7,15.3,173,96,19.1,374.8,24.8,0,308.5,0,5.9,51.6,5.5,12.5,14.5,663.3,-1405.4
"TTL_C19",1061.8,2570.1,3500.4,351.1,7.2,333.8,264.4,145.3,93.8,6116.8,211.9,19.5,266.4,817.8,194.1,73.6,46,74.2,31.9,34.8,112.8,329.8,177.5,135.8,1948.6,1563.4,3662.9,1176.8,1126.8,365.3,42.5,1492.9,30.3,106.6,6.6,224.7,94.1,85.4,106.5,249.5,186.7,21,24.6,46.9,0,1740,0,0.1,2.5,30.3,48.6,43.1,195.4,-15898.9
"TTL_C20",5559.9,128.3,519.4,140.2,14.6,420.4,2229.5,319.2,758.6,300,5066.2,146.6,2830.4,832.8,211.3,309.2,448,420,40.7,174.3,134.9,1727.5,9.5,71.2,552.5,208.6,37.2,11.3,4.6,5.3,0.5,108.7,17.5,8.9,3.7,33.2,83,138.2,54.3,64.8,37.7,78.7,37.2,165.6,0,799.2,0,1.4,6,31.5,13.5,13.8,2808,-14188.7
"TTL_C21",291.2,30.6,8,1.2,0.1,181.3,12.9,2.2,2.8,1.6,19.2,1078.5,12.8,13.7,1.2,1.7,3.7,2.5,0.6,0.8,0.6,9.8,0.3,0.9,6.4,22.9,1.8,0.3,0.3,0.7,0,1.9,0.3,4,0.1,3.6,1.3,8.7,0.7,6.6,100.4,1731.1,15,3.6,0,841.8,0,114.2,3.6,4.7,10.8,12.7,118.6,-1809.5
