"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",395.3,10.1,1.2,2.6,0,4231.1,376.5,213.8,247.2,65,22.6,5.5,79.3,9.3,8.5,6.5,5.9,4.4,11.7,10.8,13.2,114.1,1.6,3.1,1.4,3,0.5,0,0.1,0.5,0,17,9.1,0.8,1.9,0.5,1.9,2.4,3.8,6.5,1.4,7.2,66.9,104.8,0,4281.1,1,0,217.4,75.3,12.1,27.5,816,-298
"TTL_A03",0.2,87,0,0.1,0,271.9,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,9.7,0.4,0.5,0,0,0.2,0,0.1,0.2,0,10,0.6,0.4,0.4,0,0.3,0.4,0.7,3.9,0.2,1.1,6.9,20.2,0,71.3,0.4,0,0.1,7.1,0.8,1.9,25.2,-5.4
"TTL_B05_06",9.9,0.4,7.7,45.1,0.6,11.4,3.8,3.1,26.9,4094.8,31.3,0.6,3.4,104.1,37.7,6.7,0.5,1.7,5.8,3.4,1.4,28.2,426.6,17.6,21.6,0.9,3,0.1,1.7,2.9,0.4,0.7,1.2,6.6,0.3,0.1,0.4,0.5,0.6,2.1,0.5,2.9,11.4,6.9,0,38.3,0,0,1.9,11.7,0.5,0,1822.5,-2855.3
"TTL_B07_08",5.2,0.1,2.3,6.3,0.2,3.4,0.6,0.6,0.3,4.9,58.5,5.4,2.3,0.5,1469.8,300.7,30.1,94.5,199.2,180.1,26.3,6.7,0.7,0.4,35.6,1,1.8,0,1.2,1.1,0,0.2,0.2,0.6,0.1,0.5,3.7,0.4,0.6,6.6,0.8,1.3,1,0.9,0,8.3,0.1,0,3.8,13,0.3,0.2,9815.6,-155.5
"TTL_B09",0,0,185.3,0.7,30.4,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0.2,0,4,-20
"TTL_C10T12",1176.6,36.5,10.4,53.4,0.1,2780.8,2,0.2,12.6,30.6,108.3,20,2.2,0.5,1.1,51,0.2,0.3,1.8,1.6,0.1,35.3,7.7,15,1.3,30.9,24.7,0.5,13.4,22.5,0.4,624.3,9.8,73.5,23.8,0.2,21.7,26.2,40.3,34.7,4.8,24.9,103.9,302.3,0,10617.4,2.5,8,3.2,100.6,45.3,117,685.6,-819
"TTL_C13T15",116,3,18.4,58.5,0.2,11.3,450.6,1.5,19.1,6.8,15.6,2.5,28.8,0.5,1.5,1.4,2.8,1.2,6.1,208.1,2.8,48.7,2.3,7.7,48.1,32,13.5,0.3,7.4,12.2,0.3,3.8,12.4,33.1,1.3,0.5,1.2,1.4,2.1,20.6,6.5,33.2,90.8,78.4,0,2944.8,0.9,0.1,4,27,22.5,69,122.4,-893.4
"TTL_C16",17.2,0.2,4.3,104.9,0.8,93.7,4.4,139.5,16.8,244.7,34.4,3.3,2.7,17.8,3.8,16.3,1.8,1.1,5.4,24.2,5.4,92,5.6,2,49.6,23,9,0.1,3.4,8.3,2.3,1.2,3.5,15.6,0.2,0.2,4.3,1.5,1.3,4.9,2.1,8,26.5,11.9,0,32.8,0.1,0.3,2,1.8,2.2,4.4,120.4,-84.2
"TTL_C17_18",5.1,0.8,5.5,13.4,0.1,227.9,17.4,13.1,729.9,106.8,85,20.5,19.9,32.4,3.9,10.1,4.2,5.8,17,58.4,1,34.4,6.2,7.4,22.8,485.6,28.9,0.5,15,29.1,3.7,3.2,162.8,57.8,93.4,13.7,281.8,187.2,147.3,29.2,16.7,67.9,78.1,47.1,0,707.9,0.2,0,4.9,21.5,5.4,9,368.8,-255.1
"TTL_C19",956.4,27.8,168.5,434.8,13.8,103.8,67.1,2.9,27.2,786.8,483.9,27.8,74.1,18.3,329.4,4.9,29.9,64.8,7,8.5,11.1,8.6,233.9,43.5,580.2,493,863,19.6,509.2,870.6,175.9,14.1,29.2,2119.9,242.1,40,202.8,308.3,389.6,192.8,12.7,62,304.9,108.4,0,4396.6,0,0,27.9,200.8,15.9,37.1,562.4,-666.5
"TTL_C20",654.8,20.1,135.3,509.3,18.7,149.6,114.4,29,174.3,768.4,1780.1,118.9,784.8,76.3,256.4,73.9,10.4,36.8,60.9,73.1,2.9,69,19.9,44.2,107.1,49.8,31.4,0.7,17.8,28.6,27.8,20.2,41.6,44.8,27.7,7,22.8,29.8,47.4,36.1,15.9,83.8,153.5,43,0,733.6,0.4,0.3,5.5,43.8,5.3,9.4,1626.8,-1376.2
"TTL_C21",149.5,4.8,6,9.1,0,3.5,1.7,0.1,0.3,1.4,49.2,121.8,1.3,0.2,0.5,0.3,0.2,0.2,0.5,0.6,0.1,3.2,1.5,11.4,0.5,3.1,0.2,0,0.1,0.2,0.1,0.1,1,0.2,6.1,0.1,2.5,5.7,7.3,88.1,2.1,16.2,39.6,3,0,746.4,0.3,124.8,2.4,5,4.4,10.5,88.3,-299.5
"TTL_C22",39,1.5,74.1,142.6,0.1,341.3,40.3,22.5,13.8,134.4,122.3,22,140.9,29.9,5.2,12.6,16.6,38.8,56.5,316.4,7.8,86.7,1.5,4.4,253.1,194.5,65.5,1.4,35.8,61.5,15.6,1.7,9.3,137.7,3,2.1,37,6.7,6.7,11.2,1.8,6.7,31.7,93.7,0,591,0,0.1,12,22.4,0.6,0.3,145.8,-493.3
"TTL_C23",25.9,1,11.7,72.8,0,97.9,0.4,6.7,1.7,41,29.5,7.8,2.3,535.4,4,8.6,9.9,3.9,11.7,126.4,9.2,23.9,12.1,9,1120.4,21.7,20.8,0.5,12,19.2,6,7.7,5.5,43,5.1,0.4,3.9,7.6,7.4,31.6,2.6,14.1,69.6,184.9,0,254.4,0,0.2,5.6,21.6,0.3,0.1,82.8,-226.2
"TTL_C24",4.8,0,5.7,45.2,0.2,1,4,8.1,5.9,203.8,12.5,0.8,7.7,9.3,724.9,1187.1,9.9,289.5,215.9,881.7,24.5,62.3,6.2,3.8,217.3,0.7,2.9,0.1,1.7,2.8,0.1,0.1,2.7,7.2,0.2,0.1,0.2,0.3,0.3,1.9,0.1,0.4,2,14.7,0,23.5,0,5.6,17.3,38.6,0.3,0,3906.7,-1441.3
"TTL_C25",271.8,7.4,151,614.4,0,122.8,14,26.9,18.1,201.9,40.9,4.8,63.8,14.5,4.7,465.5,12.5,78.6,247.4,368,12.1,114.6,62.5,38.8,1001,138.3,19,0.4,10.9,17.6,5.5,9.5,18.7,38.8,40.1,6.1,33.8,64.2,52.1,51.9,5.6,28.2,117.7,142.3,0,321.9,0.2,0.1,129.8,37.1,0.6,0.6,477.4,-608.7
"TTL_C26",1.8,0.1,11.5,20.5,0,1.2,0.7,0.2,4.7,1.6,1.9,0.4,1,0.5,3.8,8.3,167.8,117.6,308.4,267,13.7,9.1,3.2,29.8,5.1,21.1,9.6,0.3,5.3,8.4,0.3,0.3,15.6,22.1,11,15.7,10.3,18.5,13.3,139,17.6,96.6,58.4,90.8,0,795.8,0.5,0.1,644.2,23,6.3,9.7,177.2,-1977.1
"TTL_C27",8,0.3,34.8,72,0.2,22.9,3.5,1.9,13.3,29.1,0.6,0.1,7.3,15.1,3.3,17.7,31.3,50.7,132.6,61.3,36.9,2,179.9,13.8,235.1,28.9,11.5,0.3,6.4,10.3,0.1,1.3,2.6,27,8.2,1.2,10,13.2,11,23.4,1.6,8,18.5,100.6,0,678.8,0.1,0,1167.9,15.8,3.2,6.7,292.3,-868.5
"TTL_C28",101.5,3,125.4,473.8,0,24.8,35.6,0.8,14.5,12.7,2.3,0.2,1.5,14.5,5.8,45.9,9.6,20.9,325.4,182,27.3,1.7,36.9,31.7,48.3,112.5,19.3,0.8,11.2,17.9,0.3,0.3,3.8,44.8,51.3,1,128.1,76.5,74.1,19.4,4.8,24.5,32.8,14.3,0,167,0.2,0,3381.2,40.7,0.9,1,1330.6,-2394.7
"TTL_C29",115.3,2.9,80.6,174.3,0.1,24.6,7.6,4.6,4.3,38.3,12.7,1.6,6.9,9.8,4.2,30.5,2,10.5,25,2248,167.4,5.7,13.5,51.8,4.5,293.5,166.4,1.9,49.4,107,14.4,0.3,17.6,270.5,15.1,5.5,41.6,42,52.5,191.1,29.9,145.3,197,16.4,0,3584.8,0.2,0,3052.5,94.6,3.6,8.2,1454.4,-2397.3
"TTL_C30",2.5,0.7,1.2,8.8,0,0.3,0.2,0.1,0.1,0.3,0.2,0,0,0.1,0.1,0.6,0.1,0.2,2.2,107.6,168.5,0.2,0.6,0.3,0.8,1,11.4,46.4,6,10.2,0,0,0.1,0.8,0.4,0,0.9,0.7,0.7,11.7,0.1,2.3,0.9,0.8,0,210.1,0,0,666.1,5,0.2,0,469.4,-652.8
"TTL_C31T33",7.3,0.9,3.9,29.2,0.7,12.8,3.1,3.4,3.2,4.9,3.7,0.6,1.3,1.2,89,60.5,1.1,3.1,13.9,7.3,1.2,211,1.1,2.7,7.4,32.3,6.2,0.2,2.9,5.6,4.9,2,5.7,7.9,18,50.1,17.8,28.8,31.3,18.5,3.6,16.7,31.5,8.7,0,972.8,0.2,82.8,159.6,2.7,21.1,38.6,869.8,-654.3
"TTL_D",98.8,3,69.2,300.7,2.2,170.9,37,20.1,49.3,442.6,332.4,36.3,46,108.1,294.2,82.3,5.8,14.3,38.3,69.7,21.3,26.8,738.6,20.5,23.6,84.8,46.6,0.1,1.5,21.1,0.3,37.4,8.9,17,15,31.4,202.9,110.3,85,15.4,22.8,49.4,92.6,41,0,1400.5,0.6,0,2.2,0,0.7,0,33.9,-40
"TTL_E",22.2,0.8,11,70.2,0.1,45.7,1.3,0.7,2,15.9,4.1,0.6,1.8,2.5,21.2,6.1,0.2,0.7,1.9,2.3,0.6,12.6,0.9,455.4,2.4,31.1,4.7,0,0.6,2.4,0.1,2.3,0.6,2.7,1.3,2.2,22.6,7.8,7.6,4.6,1.8,16,8.3,3.2,0,750.3,0.8,981.7,2.7,0.1,0.3,0.1,0.6,-11.1
"TTL_F",102.4,1.2,38,159.5,3.3,33.2,5.5,5.3,13.1,1477.9,16.8,3.2,4.8,4.5,14.5,22.4,3.2,2.1,11.5,11.3,7.4,3.2,2.2,28.9,265.1,22.6,96.6,0.4,24.5,62.3,0.3,12.5,27.6,100,17.3,11.7,35.5,69.5,51.5,81.8,4.5,21.2,44.9,30.1,0,197.5,2.3,0,7518.5,0.3,2.4,5,51.6,-29.4
"TTL_G",894.5,40.7,208.3,683.4,10.2,1228.9,218.4,50.4,225.5,819.9,600.4,75.6,247.9,172.9,271.2,308.2,81.2,139.7,295.6,1195.9,106.7,168,190.7,82.2,767.8,724.2,375.7,11.1,198.3,337,65.6,194.6,80.6,814.8,170.8,51,261.5,252.3,260.3,311.4,35.4,174.8,332.6,312.2,0,6828.8,2.3,21.7,2186.6,166.6,80.5,73.6,2555.4,-3772.1
"TTL_H49",401.5,11.3,87.8,216.5,3.2,323.9,40,32.3,55.7,320.4,153.4,16.6,61.2,104,87.7,96.4,13.3,29.7,66.1,184.7,16.6,46.7,70.5,26.6,166.1,183.1,100.1,1.7,32.6,90,16.6,20.7,20.4,140.6,28.6,14,40.1,51.2,53.6,184,4.6,24.1,53.5,61,0,1561.5,0.7,1.5,269.5,25.9,111.5,210.6,910,-561.7
