Variable,desc,code,_1947,_1948,_1949,_1950,_1951,_1952,_1953,_1954,_1955,_1956,_1957,_1958,_1959,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010
GO,TOTAL INDUSTRIES,TOT,457753.0999999999,488994.957,495401.36899999995,561743.5760000001,636406.1009999998,665738.015,716205.5909999999,717353.7720000001,777634.1309999997,815658.5530000001,847896.3529999999,871785.3549999999,950494.3239999999,977100.1200000001,1000841.7570000001,1074516.814,1130288.532,1208673.612,1320927.458,1442438.4060000002,1516220.286,1644222.595,1771869.862,1847130.4659999998,1987700.459,2209420.558,2498531.6260000006,2809172.669,2988815.249000001,3326084.1929999995,3785137.7939999998,4297606.949000002,4889387.262,5374371.109000001,5937981.095000002,6097875.004999999,6535075.157,7173716.466,7575267.989,7881928.3440000005,8522059.893,9191697.607,9730224.56,10262354.484000001,10435714.641999999,11084308.125,11647791.04,12413037.483000001,13143238.955999998,13918544.84,14818886.018,15616863.981999999,16622689.668,17890163.942,18182911.669,18448052.761,19374038.037,20771800.634,22534808.355,23936458.629999995,25238538.716,25985350.849999998,24032935.122999996,25241390.442
GO,"AGRICULTURE, HUNTING, FORESTRY AND FISHING",AtB,36124.727,40989.945,34330.848,37112.23,43259.082,42476.195,38451.445,38292.266,37784.867,37791.613,37920.801,42476.695,41839.754,42680.473,44629.965,46534.48,47821.238,46538.012,51486.27,55817.609,55810.051,57548.332,62636.898,65329.867,69558.719,80637.383,110986.828,111767.867,111843.797,118170.672,123339.758,145721.688,168819.281,174117.0,179891.219,185396.094,178110.563,190996.813,184002.344,176466.672,195542.984,205590.438,215758.531,222169.875,216946.547,228176.016,235228.781,242981.813,246599.0,259153.266,262094.578,257354.266,258685.156,258074.266,265998.25,248135.203,280599.563,314273.656,313815.219,308599.438,354063.156,389181.938,351417.688,378763.75
GO,MINING AND QUARRYING,C,11329.93,14391.14,13226.076,14848.147,17074.793,17467.918,19041.158,19018.746,20994.012,22385.551,22457.289,20223.652,20758.496,20732.074,20623.852,20827.584,20909.529,21948.059,23088.365,24496.471,25293.102,26645.139,28867.83,31772.984,31826.268,32955.195,37591.469,56869.785,68921.984,75972.922,86232.313,98898.906,128742.125,173301.094,220340.031,222754.063,200721.188,213530.109,200294.641,135588.875,139734.438,136501.266,145317.313,162648.656,149178.813,143836.984,142903.906,140553.469,137361.766,161285.563,169119.406,142016.797,144483.688,194893.313,202482.297,183381.203,231341.563,278366.0,361435.25,411315.531,451844.063,555557.75,342244.906,410799.531
GO,TOTAL MANUFACTURING,D,181192.74000000002,182503.012,186545.513,219459.08299999998,247588.46699999998,249368.14299999998,276518.765,269913.788,297828.51999999996,308413.24700000003,314286.81600000005,320883.45700000005,361191.781,366362.48000000004,365144.9199999999,394067.36799999996,412001.94200000004,438961.264,482591.2860000001,529261.4079999999,544499.9049999999,587069.8510000001,625508.3990000001,618814.2949999999,653010.1050000001,732063.317,847554.5920000001,987437.824,1008711.501,1150904.38,1317818.0119999999,1477799.8080000002,1677215.625,1802289.435,1960328.7590000003,1904350.5,1993571.3420000002,2188877.289,2216344.4230000004,2196532.5670000003,2407091.9080000003,2608785.9060000004,2715898.0450000004,2795025.356,2747417.0,2919647.603,3031508.42,3247498.369,3488127.5640000002,3607357.321,3858491.7749999994,3944556.2290000003,4090412.07,4260860.346,4011950.932,3966897.8840000005,4071360.987,4362457.289,4778520.9629999995,5040751.69,5361297.214000001,5445555.191000001,4455920.464,4920722.441000001
GO,"FOOD , BEVERAGES AND TOBACCO",15t16,41919.496,41151.48,40560.852,42025.078,46332.262,46677.813,51548.219,53265.469,52120.996,52904.742,53362.297,60149.73,62882.48,65038.703,67323.055,69929.359,69322.172,71883.625,74067.016,79277.555,83381.695,86231.57,91802.828,96660.688,101206.023,112426.594,132701.594,159508.453,170516.672,179503.891,191640.109,215069.234,235446.313,257016.172,274691.625,286194.406,289825.594,304129.875,308100.938,315309.094,338230.563,363505.125,378506.438,402368.25,406475.5,428573.344,434633.25,445949.156,464745.031,481072.469,502809.125,515008.781,519963.406,535479.188,556750.438,547247.375,581267.125,610110.125,641726.938,645305.438,698478.375,754328.0,731090.188,773229.875
GO,"TEXTILES, TEXTILE , LEATHER AND FOOTWEAR",17t19,27090.223,26724.373,26368.686,29336.398,30955.83,29470.547,30382.385,29052.52,31081.697,31314.203,30618.746,32197.953,35504.258,35183.773,35006.094,37260.262,38632.262,40896.008,43375.613,45965.563,47562.488,51316.891,53712.082,52465.703,55404.609,60567.172,65895.648,68366.359,67500.047,76557.898,86033.047,90724.258,94506.875,100385.563,107805.781,108146.422,115496.852,118967.148,115394.797,117501.758,131726.453,135086.859,135960.188,135381.25,135756.875,146187.0,151837.844,158187.172,160445.672,160260.094,167527.797,161594.578,157727.984,152245.891,133886.156,121868.258,116291.352,111132.523,113177.227,105901.469,89926.203,78797.25,65333.008,68323.891
GO,WOOD AND OF WOOD AND CORK,20,7836.618,7487.641,7156.019,9884.615,11307.375,11192.137,11562.692,11101.082,12842.854,12994.821,12133.95,12607.387,14074.577,13221.688,12645.098,13400.808,13841.762,14865.377,15930.643,17168.457,17650.676,20007.063,22334.268,22228.035,25011.652,31630.256,36147.258,35080.703,32477.549,39586.008,48944.582,57299.02,61218.324,58874.641,60360.668,56516.695,66508.078,72884.375,74006.703,79770.586,92281.063,95134.023,98586.672,98514.094,93944.688,105519.383,118020.797,129311.391,132959.469,137085.719,150464.031,159960.422,169690.313,168716.5,158337.594,163756.844,165571.219,181653.828,195306.563,196404.813,182839.922,163375.203,121553.234,125180.891
GO,"PULP, PAPER, PAPER , PRINTING AND PUBLISHING",21t22,13119.436,13614.084,14027.773,15696.485,18419.666,18335.875,20456.41,21218.209,23407.436,25252.178,25508.855,28113.594,31283.641,31232.084,31021.311,32576.414,31282.082,32742.775,35376.574,39488.723,41098.781,43782.039,47991.203,49811.531,50928.434,56355.527,63255.055,74522.25,76690.836,87561.266,98414.867,109348.25,123326.828,137134.203,151851.672,160621.453,172176.969,193028.531,199507.781,208613.969,238450.25,259145.109,273053.469,280413.406,277552.25,291587.0,297381.188,311589.781,351615.438,345621.844,357780.656,377058.563,392647.781,411623.063,398350.219,392300.844,384400.438,394470.625,407349.781,417210.125,430441.219,423117.125,372990.219,382107.938
GO,"CHEMICAL, RUBBER, PLASTICS AND FUEL",23t25,21787.46,23358.38,24005.465,29417.703999999998,35218.025,35393.911,36433.626000000004,35261.08,39829.373,42096.117,43712.182,46843.435,51833.077999999994,52669.343,53330.111,56609.014,60750.965,64230.52500000001,69649.38699999999,75947.449,79789.222,85379.192,89819.462,90652.23300000001,96338.077,106716.389,124258.61,170351.391,186087.65999999997,217715.51499999998,254148.738,275686.64900000003,341959.801,407792.668,456204.497,433982.24199999997,435029.946,456567.633,446888.251,397384.125,445888.383,483659.618,519119.63300000003,557613.6410000001,546160.8200000001,564203.626,577991.2270000001,607961.8910000001,652447.454,685790.906,730089.7660000001,699504.047,738784.453,837990.923,806918.0160000001,828918.407,882139.782,1015108.172,1223760.594,1349926.298,1477307.032,1602687.939,1218465.141,1451044.298
GO,"Coke, refined petroleum and nuclear fuel",23,8190.991,7906.145,8539.664,10630.016,13049.806,13642.757,13489.299,13932.595,15487.034,17306.91,18438.881,16939.781,17412.969,17671.094,17385.164,17471.033,18021.566,18459.113,19219.23,20620.648,22345.102,23048.742,23827.289,23874.066,25351.734,26477.695,32200.59,54392.137,64065.039,75849.148,89730.656,92514.039,130388.625,193270.734,200115.594,186353.188,161986.813,176375.188,164186.891,108245.594,128136.578,128757.891,140887.188,168967.406,154295.031,146178.219,141362.594,140196.719,148485.141,171360.016,173671.188,134219.844,157984.5,229640.391,215543.453,211331.969,242770.156,320151.219,455488.75,527748.813,596542.313,724178.063,470056.531,643358.813
